token,count_a,count_b,log_odds,z
諫,20,0,2.8088321785131676,4.520805826828221
薇,19,1,2.46924391307551,4.5030652130169795
言,17,3,1.9603352973297614,4.188002007910209
垣,15,0,2.806933542011267,3.912486248759099
忠,10,3,1.6318597612012855,3.0397625453533808
疏,9,2,1.8228860818476242,2.9904466806986885
正,8,1,2.136342591691416,2.908628922286416
鵝,7,0,2.803904160535489,2.6698523810445813
卵,6,0,2.8035262152170386,2.4714698172321294
坐,8,4,1.2713640457559743,2.418327413121732
字,6,2,1.5594740510107519,2.311565645873243
士,6,2,1.5594740510107519,2.311565645873243
應,9,6,1.0556541430415374,2.295681589276649
憂,5,0,2.803148431100526,2.2558289273607874
亭,5,0,2.803148431100526,2.2558289273607874
臨,5,1,1.884423010502668,2.24721740931804
國,5,1,1.884423010502668,2.24721740931804
傾,7,4,1.171688099121286,2.158847376905873
直,7,4,1.171688099121286,2.158847376905873
春,8,6,0.9652221739359721,2.0400041751031575
談,5,2,1.4320777552806563,2.0314946463502674
補,4,1,1.7481244047059237,1.9675433306364245
恢,4,1,1.7481244047059237,1.9675433306364245
陽,4,1,1.7481244047059237,1.9675433306364245
愧,6,4,1.054799943303812,1.8728994541815835
英,9,9,0.7431405613510238,1.791917060043874
世,9,9,0.7431405613510238,1.791917060043874
草,5,3,1.1343902891242346,1.7890910572608172
懷,5,3,1.1343902891242346,1.7890910572608172
去,5,3,1.1343902891242346,1.7890910572608172
席,5,3,1.1343902891242346,1.7890910572608172
還,7,6,0.8620165015338737,1.7633028252784235
生,10,11,0.6694946164771443,1.7424979199600894
事,19,28,0.4456553877606746,1.717259889502372
偏,4,2,1.2701326670046162,1.708359478432933
爭,4,2,1.2701326670046162,1.708359478432933
自,11,13,0.6141638766584139,1.7064571889425117
虛,5,4,0.9147462597297533,1.5538917446105431
回,5,4,0.9147462597297533,1.5538917446105431
評,5,4,0.9147462597297533,1.5538917446105431
人,14,20,0.46861039175860686,1.5384133597262295
紫,8,9,0.6516450180034274,1.5254419106456254
身,8,9,0.6516450180034274,1.5254419106456254
深,8,9,0.6516450180034274,1.5254419106456254
君,6,6,0.7424266771557742,1.4616886585738815
歸,6,6,0.7424266771557742,1.4616886585738815
但,4,3,0.9641309884477769,1.4408700360051092
笑,4,3,0.9641309884477769,1.4408700360051092
耿,4,3,0.9641309884477769,1.4408700360051092
名,15,24,0.3822224658303135,1.3348094402819684
後,10,14,0.4833852255675186,1.334646048026121
幅,3,2,1.0539472503586644,1.323269317355409
封,3,2,1.0539472503586644,1.323269317355409
獻,3,2,1.0539472503586644,1.323269317355409
銜,3,2,1.0539472503586644,1.323269317355409
小,3,2,1.0539472503586644,1.323269317355409
丹,6,7,0.623074638824666,1.2745339202253005
平,8,11,0.4968453001802082,1.2216347100660796
靑,8,11,0.4968453001802082,1.2216347100660796
白,13,21,0.374645774575983,1.2208084249425888
衆,4,4,0.7419515504622645,1.1927000176855604
山,4,4,0.7419515504622645,1.1927000176855604
最,4,4,0.7419515504622645,1.1927000176855604
月,4,4,0.7419515504622645,1.1927000176855604
榮,4,4,0.7419515504622645,1.1927000176855604
時,21,39,0.270473833366089,1.1581838243924003
未,5,6,0.6010958526732724,1.1302463037120907
古,9,14,0.40270383530072085,1.081993126525557
偶,3,3,0.7417142254471631,1.0325781221778614
議,3,3,0.7417142254471631,1.0325781221778614
首,3,3,0.7417142254471631,1.0325781221778614
襟,3,3,0.7417142254471631,1.0325781221778614
戒,3,3,0.7417142254471631,1.0325781221778614
位,3,3,0.7417142254471631,1.0325781221778614
少,3,3,0.7417142254471631,1.0325781221778614
珍,3,3,0.7417142254471631,1.0325781221778614
雪,3,3,0.7417142254471631,1.0325781221778614
日,21,41,0.23308332665184395,1.0100484154965943
詩,4,5,0.5693943091115461,0.9672377524867366
盛,4,5,0.5693943091115461,0.9672377524867366
筆,5,7,0.48247642446566363,0.9419629729751766
猶,5,7,0.48247642446566363,0.9419629729751766
臣,5,7,0.48247642446566363,0.9419629729751766
聖,5,7,0.48247642446566363,0.9419629729751766
醉,7,11,0.394667586674295,0.9374714550361838
樽,6,9,0.42991295163806864,0.9349115470939451
盡,9,16,0.30175729429900766,0.8371309699265104
知,9,16,0.30175729429900766,0.8371309699265104
勝,8,14,0.31345717667408035,0.8167763175546158
須,12,23,0.24587014844011623,0.8018747932366593
如,6,10,0.3499445695422141,0.7805202969925928
題,6,10,0.3499445695422141,0.7805202969925928
黃,3,4,0.519534771547602,0.776431930884096
見,3,4,0.519534771547602,0.776431930884096
極,3,4,0.519534771547602,0.776431930884096
依,3,4,0.519534771547602,0.776431930884096
紅,3,4,0.519534771547602,0.776431930884096
堂,3,4,0.519534771547602,0.776431930884096
志,3,4,0.519534771547602,0.776431930884096
方,5,8,0.380683033738868,0.7675487236328888
淸,17,35,0.1932976724800346,0.763247727430202
尊,4,6,0.4295782205580858,0.7627577342216446
流,8,15,0.26179822810814546,0.6934987371581623
會,10,20,0.214073250033187,0.6438394449968068
前,5,9,0.2919369605421229,0.605448313111976
照,5,9,0.2919369605421229,0.605448313111976
留,4,7,0.31292778698140467,0.5765726669003532
際,3,5,0.3495129069431675,0.5512304029788563
氷,3,5,0.3495129069431675,0.5512304029788563
豈,3,5,0.3495129069431675,0.5512304029788563
大,3,5,0.3495129069431675,0.5512304029788563
取,3,5,0.3495129069431675,0.5512304029788563
院,2,3,0.42924401828953496,0.5389315631001362
脩,2,3,0.42924401828953496,0.5389315631001362
朋,2,3,0.42924401828953496,0.5389315631001362
居,2,3,0.42924401828953496,0.5389315631001362
覺,2,3,0.42924401828953496,0.5389315631001362
皁,2,3,0.42924401828953496,0.5389315631001362
節,2,3,0.42924401828953496,0.5389315631001362
誠,2,3,0.42924401828953496,0.5389315631001362
却,2,3,0.42924401828953496,0.5389315631001362
微,2,3,0.42924401828953496,0.5389315631001362
宇,2,3,0.42924401828953496,0.5389315631001362
至,2,3,0.42924401828953496,0.5389315631001362
傑,2,3,0.42924401828953496,0.5389315631001362
載,2,3,0.42924401828953496,0.5389315631001362
昭,2,3,0.42924401828953496,0.5389315631001362
治,2,3,0.42924401828953496,0.5389315631001362
到,2,3,0.42924401828953496,0.5389315631001362
箇,2,3,0.42924401828953496,0.5389315631001362
酬,2,3,0.42924401828953496,0.5389315631001362
今,7,14,0.21378107022658277,0.537939512073642
頭,7,14,0.21378107022658277,0.537939512073642
高,8,17,0.16925567293460286,0.4619297934158058
久,5,10,0.21358672806128798,0.45422856569132125
書,5,10,0.21358672806128798,0.45422856569132125
路,4,8,0.21348968992421113,0.4060897988157159
當,4,8,0.21348968992421113,0.4060897988157159
許,4,8,0.21348968992421113,0.4060897988157159
明,8,18,0.12756036844580887,0.35291073792767286
妨,3,6,0.21339274025529775,0.35152437566005795
容,3,6,0.21339274025529775,0.35152437566005795
列,3,6,0.21339274025529775,0.35152437566005795
秋,3,6,0.21339274025529775,0.35152437566005795
仙,3,6,0.21339274025529775,0.35152437566005795
從,5,11,0.1437012019375219,0.31262432383773814
朝,9,21,0.10128390969417556,0.29980154122735814
稀,2,4,0.2132958789331667,0.2868881699936896
識,2,4,0.2132958789331667,0.2868881699936896
江,2,4,0.2132958789331667,0.2868881699936896
幾,2,4,0.2132958789331667,0.2868881699936896
休,2,4,0.2132958789331667,0.2868881699936896
稱,2,4,0.2132958789331667,0.2868881699936896
下,2,4,0.2132958789331667,0.2868881699936896
遊,2,4,0.2132958789331667,0.2868881699936896
唯,2,4,0.2132958789331667,0.2868881699936896
納,2,4,0.2132958789331667,0.2868881699936896
聊,2,4,0.2132958789331667,0.2868881699936896
點,2,4,0.2132958789331667,0.2868881699936896
才,4,9,0.127312491651133,0.24906065607058953
筵,4,9,0.127312491651133,0.24906065607058953
中,8,19,0.08848005845705753,0.24796931279448028
要,6,14,0.10113299626179817,0.244422199854789
傳,7,17,0.07242760235758183,0.19088662354720254
誰,5,12,0.08083108768669334,0.1795384138148798
尋,3,7,0.10098253226510501,0.17257545751779077
義,3,7,0.10098253226510501,0.17257545751779077
對,6,15,0.051694940118440336,0.12701579981189254
成,4,10,0.05164151233580494,0.10360078195648974
披,2,5,0.05158819490103639,0.07318118123815898
彥,2,5,0.05158819490103639,0.07318118123815898
肯,2,5,0.05158819490103639,0.07318118123815898
西,2,5,0.05158819490103639,0.07318118123815898
似,2,5,0.05158819490103639,0.07318118123815898
子,2,5,0.05158819490103639,0.07318118123815898
合,2,5,0.05158819490103639,0.07318118123815898
顏,2,5,0.05158819490103639,0.07318118123815898
