token,count_a,count_b,log_odds,z
諫,20,0,2.826829996438076,4.498856277154873
薇,19,1,2.4806857256947534,4.487370151783494
言,17,3,1.9651710931833994,4.176844173730257
垣,15,0,2.824976370004322,3.893569033601111
忠,10,3,1.6338042965579724,3.0313126929330547
疏,9,2,1.8264788318667922,2.9826049685978755
正,8,1,2.143254536970118,2.900598884886315
鵝,7,0,2.8220185925521246,2.6570291618707134
一,25,30,0.6007229332576811,2.5186256139605594
卵,6,0,2.821649562274888,2.4596093230048597
坐,8,4,1.2707691673434347,2.409489404810301
三,8,4,1.2707691673434347,2.409489404810301
士,6,2,1.5608998267884795,2.3049432384160697
字,6,2,1.5608998267884795,2.3049432384160697
應,9,6,1.0537332709176628,2.2847988552975256
憂,5,0,2.8212806853506818,2.2450123171359513
亭,5,0,2.8212806853506818,2.2450123171359513
國,5,1,1.8886455421641406,2.2413903639560084
臨,5,1,1.8886455421641406,2.2413903639560084
直,7,4,1.1704803196922882,2.150044422247486
傾,7,4,1.1704803196922882,2.150044422247486
春,8,6,0.96278742966037,2.0290425785533532
談,5,2,1.4325868670602055,2.025141910781693
恢,4,1,1.751105135328876,1.9623645791244482
陽,4,1,1.751105135328876,1.9623645791244482
補,4,1,1.751105135328876,1.9623645791244482
愧,6,4,1.0529024585016904,1.8640595823126436
懷,5,3,1.1329754850873508,1.7814873263924853
去,5,3,1.1329754850873508,1.7814873263924853
席,5,3,1.1329754850873508,1.7814873263924853
草,5,3,1.1329754850873508,1.7814873263924853
世,9,9,0.739448031592973,1.778040990938281
英,9,9,0.739448031592973,1.778040990938281
還,7,6,0.8590060257899328,1.752209501971776
生,10,11,0.6653831339017691,1.726954213693693
偏,4,2,1.269570050014904,1.7021585972593634
爭,4,2,1.269570050014904,1.7021585972593634
事,19,28,0.44020771908273826,1.691324361838714
自,11,13,0.6097347396725388,1.6893866282236036
評,5,4,0.9120514491450384,1.5449287476217335
回,5,4,0.9120514491450384,1.5449287476217335
虛,5,4,0.9120514491450384,1.5449287476217335
人,14,20,0.46333257989993637,1.5166828216930148
紫,8,9,0.6474503791195252,1.5113783323321954
身,8,9,0.6474503791195252,1.5113783323321954
深,8,9,0.6474503791195252,1.5113783323321954
歸,6,6,0.7387558342842686,1.4504053931926852
君,6,6,0.7387558342842686,1.4504053931926852
笑,4,3,0.9617268082266106,1.4331692242115384
耿,4,3,0.9617268082266106,1.4331692242115384
但,4,3,0.9617268082266106,1.4331692242115384
小,3,2,1.0520730737115969,1.317050895419285
獻,3,2,1.0520730737115969,1.317050895419285
銜,3,2,1.0520730737115969,1.317050895419285
封,3,2,1.0520730737115969,1.317050895419285
幅,3,2,1.0520730737115969,1.317050895419285
後,10,14,0.4782227242676278,1.316584801506036
名,15,24,0.37643468972173544,1.310688473506533
丹,6,7,0.6187362098569364,1.2621046111153285
靑,8,11,0.49177534356412345,1.205694053691654
平,8,11,0.49177534356412345,1.205694053691654
白,13,21,0.3688275553355753,1.198266803544245
山,4,4,0.7382951213119009,1.1835125057396805
衆,4,4,0.7382951213119009,1.1835125057396805
最,4,4,0.7382951213119009,1.1835125057396805
月,4,4,0.7382951213119009,1.1835125057396805
榮,4,4,0.7382951213119009,1.1835125057396805
時,21,39,0.26397463678335953,1.126840823776442
未,5,6,0.5966418219009197,1.118711477601649
古,9,14,0.3970798825039301,1.063733211569697
偶,3,3,0.7380649899365199,1.024632411516912
少,3,3,0.7380649899365199,1.024632411516912
首,3,3,0.7380649899365199,1.024632411516912
襟,3,3,0.7380649899365199,1.024632411516912
位,3,3,0.7380649899365199,1.024632411516912
雪,3,3,0.7380649899365199,1.024632411516912
戒,3,3,0.7380649899365199,1.024632411516912
珍,3,3,0.7380649899365199,1.024632411516912
議,3,3,0.7380649899365199,1.024632411516912
日,21,41,0.2263538835611003,0.9777861816385822
詩,4,5,0.5647690600826412,0.9566652818839226
盛,4,5,0.5647690600826412,0.9566652818839226
百,4,5,0.5647690600826412,0.9566652818839226
臣,5,7,0.4773466528156636,0.9292605747866773
聖,5,7,0.4773466528156636,0.9292605747866773
筆,5,7,0.4773466528156636,0.9292605747866773
猶,5,7,0.4773466528156636,0.9292605747866773
醉,7,11,0.389010666018609,0.921299653917335
樽,6,9,0.4244704614021231,0.920374871977412
盡,9,16,0.2955288614972966,0.8173394750169952
知,9,16,0.2955288614972966,0.8173394750169952
勝,8,14,0.3073067386823878,0.7983078476634051
須,12,23,0.23927750848317686,0.7779225374442144
黃,3,4,0.5146332882424494,0.7669086315935102
依,3,4,0.5146332882424494,0.7669086315935102
堂,3,4,0.5146332882424494,0.7669086315935102
紅,3,4,0.5146332882424494,0.7669086315935102
志,3,4,0.5146332882424494,0.7669086315935102
極,3,4,0.5146332882424494,0.7669086315935102
見,3,4,0.5146332882424494,0.7669086315935102
題,6,10,0.34402831694330427,0.7650175757106158
如,6,10,0.34402831694330427,0.7650175757106158
四,5,8,0.3749574957316426,0.7537568196390559
方,5,8,0.3749574957316426,0.7537568196390559
尊,4,6,0.4241484378866609,0.7509128253823903
千,4,6,0.4241484378866609,0.7509128253823903
九,4,6,0.4241484378866609,0.7509128253823903
淸,17,35,0.18634327573728715,0.7334172096379141
流,8,15,0.25533034204422655,0.6742566400157077
會,10,20,0.20729335431706808,0.621460793747002
照,5,9,0.28567497213627213,0.5906387181966859
前,5,9,0.28567497213627213,0.5906387181966859
留,4,7,0.30680108452131094,0.5635600611276731
豈,3,5,0.3436148484118142,0.5402989788068773
取,3,5,0.3436148484118142,0.5402989788068773
際,3,5,0.3436148484118142,0.5402989788068773
氷,3,5,0.3436148484118142,0.5402989788068773
大,3,5,0.3436148484118142,0.5402989788068773
酬,2,3,0.423826909892008,0.5305730420481009
覺,2,3,0.423826909892008,0.5305730420481009
至,2,3,0.423826909892008,0.5305730420481009
節,2,3,0.423826909892008,0.5305730420481009
朋,2,3,0.423826909892008,0.5305730420481009
載,2,3,0.423826909892008,0.5305730420481009
宇,2,3,0.423826909892008,0.5305730420481009
到,2,3,0.423826909892008,0.5305730420481009
院,2,3,0.423826909892008,0.5305730420481009
皁,2,3,0.423826909892008,0.5305730420481009
箇,2,3,0.423826909892008,0.5305730420481009
昭,2,3,0.423826909892008,0.5305730420481009
居,2,3,0.423826909892008,0.5305730420481009
傑,2,3,0.423826909892008,0.5305730420481009
脩,2,3,0.423826909892008,0.5305730420481009
治,2,3,0.423826909892008,0.5305730420481009
微,2,3,0.423826909892008,0.5305730420481009
誠,2,3,0.423826909892008,0.5305730420481009
却,2,3,0.423826909892008,0.5305730420481009
頭,7,14,0.2070177426305877,0.5192600907388565
今,7,14,0.2070177426305877,0.5192600907388565
高,8,17,0.16220035774845343,0.44123130937452415
久,5,10,0.2068344097570236,0.4384662294444736
書,5,10,0.2068344097570236,0.4384662294444736
路,4,8,0.20674286546791,0.3920025419773372
當,4,8,0.20674286546791,0.3920025419773372
許,4,8,0.20674286546791,0.3920025419773372
秋,3,6,0.20665140246544844,0.33933397197588633
仙,3,6,0.20665140246544844,0.33933397197588633
妨,3,6,0.20665140246544844,0.33933397197588633
列,3,6,0.20665140246544844,0.33933397197588633
容,3,6,0.20665140246544844,0.33933397197588633
明,8,18,0.12023144754005877,0.33152559761176414
從,5,11,0.13649576138420105,0.29596762923003667
江,2,4,0.20656002064103607,0.2769425089856865
休,2,4,0.20656002064103607,0.2769425089856865
下,2,4,0.20656002064103607,0.2769425089856865
稀,2,4,0.20656002064103607,0.2769425089856865
識,2,4,0.20656002064103607,0.2769425089856865
稱,2,4,0.20656002064103607,0.2769425089856865
納,2,4,0.20656002064103607,0.2769425089856865
遊,2,4,0.20656002064103607,0.2769425089856865
聊,2,4,0.20656002064103607,0.2769425089856865
唯,2,4,0.20656002064103607,0.2769425089856865
幾,2,4,0.20656002064103607,0.2769425089856865
點,2,4,0.20656002064103607,0.2769425089856865
朝,9,21,0.09377412242399163,0.27663356089788066
筵,4,9,0.12000386850364109,0.23398027080811612
才,4,9,0.12000386850364109,0.23398027080811612
中,8,19,0.08088907256091904,0.22592282144117873
