token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
諫,20,0,10.775862068965518,0.0,10.775862068965518
薇,19,1,10.23706896551724,0.2003205128205128,10.036748452696727
言,17,3,9.159482758620689,0.6009615384615385,8.55852122015915
垣,15,0,8.081896551724139,0.0,8.081896551724139
忠,10,3,5.387931034482759,0.6009615384615385,4.786969496021221
事,19,28,10.23706896551724,5.608974358974359,4.628094606542882
疏,9,2,4.849137931034483,0.4006410256410256,4.4484969053934575
正,8,1,4.310344827586206,0.2003205128205128,4.110024314765694
鵝,7,0,3.771551724137931,0.0,3.771551724137931
應,9,6,4.849137931034483,1.201923076923077,3.647214854111406
人,14,20,7.543103448275862,4.006410256410256,3.5366931918656057
坐,8,4,4.310344827586206,0.8012820512820512,3.5090627763041553
時,21,39,11.314655172413794,7.8125,3.5021551724137936
自,11,13,5.926724137931034,2.6041666666666665,3.3225574712643673
名,15,24,8.081896551724139,4.807692307692308,3.2742042440318304
卵,6,0,3.2327586206896552,0.0,3.2327586206896552
生,10,11,5.387931034482759,2.203525641025641,3.184405393457118
春,8,6,4.310344827586206,1.201923076923077,3.1084217506631293
日,21,41,11.314655172413794,8.213141025641026,3.101514146772768
世,9,9,4.849137931034483,1.8028846153846154,3.0462533156498677
英,9,9,4.849137931034483,1.8028846153846154,3.0462533156498677
傾,7,4,3.771551724137931,0.8012820512820512,2.97026967285588
直,7,4,3.771551724137931,0.8012820512820512,2.97026967285588
字,6,2,3.2327586206896552,0.4006410256410256,2.8321175950486297
士,6,2,3.2327586206896552,0.4006410256410256,2.8321175950486297
白,13,21,7.004310344827586,4.206730769230769,2.797579575596817
亭,5,0,2.6939655172413794,0.0,2.6939655172413794
憂,5,0,2.6939655172413794,0.0,2.6939655172413794
後,10,14,5.387931034482759,2.8044871794871793,2.5834438549955796
還,7,6,3.771551724137931,1.201923076923077,2.569628647214854
紫,8,9,4.310344827586206,1.8028846153846154,2.507460212201591
深,8,9,4.310344827586206,1.8028846153846154,2.507460212201591
身,8,9,4.310344827586206,1.8028846153846154,2.507460212201591
國,5,1,2.6939655172413794,0.2003205128205128,2.4936450044208667
臨,5,1,2.6939655172413794,0.2003205128205128,2.4936450044208667
愧,6,4,3.2327586206896552,0.8012820512820512,2.431476569407604
談,5,2,2.6939655172413794,0.4006410256410256,2.293324491600354
淸,17,35,9.159482758620689,7.011217948717949,2.1482648099027397
平,8,11,4.310344827586206,2.203525641025641,2.1068191865605654
靑,8,11,4.310344827586206,2.203525641025641,2.1068191865605654
草,5,3,2.6939655172413794,0.6009615384615385,2.0930039787798407
去,5,3,2.6939655172413794,0.6009615384615385,2.0930039787798407
懷,5,3,2.6939655172413794,0.6009615384615385,2.0930039787798407
席,5,3,2.6939655172413794,0.6009615384615385,2.0930039787798407
古,9,14,4.849137931034483,2.8044871794871793,2.044650751547304
君,6,6,3.2327586206896552,1.201923076923077,2.030835543766578
歸,6,6,3.2327586206896552,1.201923076923077,2.030835543766578
補,4,1,2.155172413793103,0.2003205128205128,1.9548519009725904
恢,4,1,2.155172413793103,0.2003205128205128,1.9548519009725904
陽,4,1,2.155172413793103,0.2003205128205128,1.9548519009725904
評,5,4,2.6939655172413794,0.8012820512820512,1.8926834659593283
回,5,4,2.6939655172413794,0.8012820512820512,1.8926834659593283
虛,5,4,2.6939655172413794,0.8012820512820512,1.8926834659593283
須,12,23,6.4655172413793105,4.607371794871795,1.8581454465075158
丹,6,7,3.2327586206896552,1.4022435897435896,1.8305150309460656
爭,4,2,2.155172413793103,0.4006410256410256,1.7545313881520777
偏,4,2,2.155172413793103,0.4006410256410256,1.7545313881520777
盡,9,16,4.849137931034483,3.205128205128205,1.6440097259062783
知,9,16,4.849137931034483,3.205128205128205,1.6440097259062783
醉,7,11,3.771551724137931,2.203525641025641,1.56802608311229
耿,4,3,2.155172413793103,0.6009615384615385,1.5542108753315647
但,4,3,2.155172413793103,0.6009615384615385,1.5542108753315647
笑,4,3,2.155172413793103,0.6009615384615385,1.5542108753315647
勝,8,14,4.310344827586206,2.8044871794871793,1.5058576480990271
未,5,6,2.6939655172413794,1.201923076923077,1.4920424403183024
樽,6,9,3.2327586206896552,1.8028846153846154,1.4298740053050398
會,10,20,5.387931034482759,4.006410256410256,1.3815207780725025
山,4,4,2.155172413793103,0.8012820512820512,1.353890362511052
榮,4,4,2.155172413793103,0.8012820512820512,1.353890362511052
衆,4,4,2.155172413793103,0.8012820512820512,1.353890362511052
最,4,4,2.155172413793103,0.8012820512820512,1.353890362511052
月,4,4,2.155172413793103,0.8012820512820512,1.353890362511052
流,8,15,4.310344827586206,3.0048076923076925,1.305537135278514
臣,5,7,2.6939655172413794,1.4022435897435896,1.2917219274977898
筆,5,7,2.6939655172413794,1.4022435897435896,1.2917219274977898
聖,5,7,2.6939655172413794,1.4022435897435896,1.2917219274977898
猶,5,7,2.6939655172413794,1.4022435897435896,1.2917219274977898
如,6,10,3.2327586206896552,2.003205128205128,1.229553492484527
題,6,10,3.2327586206896552,2.003205128205128,1.229553492484527
幅,3,2,1.6163793103448276,0.4006410256410256,1.215738284703802
銜,3,2,1.6163793103448276,0.4006410256410256,1.215738284703802
封,3,2,1.6163793103448276,0.4006410256410256,1.215738284703802
獻,3,2,1.6163793103448276,0.4006410256410256,1.215738284703802
小,3,2,1.6163793103448276,0.4006410256410256,1.215738284703802
詩,4,5,2.155172413793103,1.001602564102564,1.153569849690539
盛,4,5,2.155172413793103,1.001602564102564,1.153569849690539
方,5,8,2.6939655172413794,1.6025641025641024,1.091401414677277
戒,3,3,1.6163793103448276,0.6009615384615385,1.015417771883289
偶,3,3,1.6163793103448276,0.6009615384615385,1.015417771883289
珍,3,3,1.6163793103448276,0.6009615384615385,1.015417771883289
