token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
諫,20,0,10.422094841063053,0.0,10.422094841063053
薇,19,1,9.900990099009901,0.1960015680125441,9.704988530997356
言,17,3,8.858780614903596,0.5880047040376323,8.270775910865964
垣,15,0,7.816571130797291,0.0,7.816571130797291
一,25,30,13.027618551328818,5.880047040376323,7.147571510952495
忠,10,3,5.211047420531527,0.5880047040376323,4.623042716493894
事,19,28,9.900990099009901,5.488043904351235,4.412946194658666
疏,9,2,4.689942678478374,0.3920031360250882,4.297939542453286
正,8,1,4.168837936425221,0.1960015680125441,3.972836368412677
鵝,7,0,3.6477331943720688,0.0,3.6477331943720688
應,9,6,4.689942678478374,1.1760094080752646,3.5139332704031094
坐,8,4,4.168837936425221,0.7840062720501764,3.3848316643750445
三,8,4,4.168837936425221,0.7840062720501764,3.3848316643750445
人,14,20,7.2954663887441376,3.9200313602508823,3.3754350284932553
時,21,39,10.943199583116208,7.64406115248922,3.2991384306269875
自,11,13,5.732152162584679,2.548020384163073,3.184131778421606
卵,6,0,3.126628452318916,0.0,3.126628452318916
名,15,24,7.816571130797291,4.704037632301058,3.1125334984962327
生,10,11,5.211047420531527,2.156017248137985,3.0550301723935416
春,8,6,4.168837936425221,1.1760094080752646,2.992828528349956
世,9,9,4.689942678478374,1.7640141121128967,2.9259285663654775
英,9,9,4.689942678478374,1.7640141121128967,2.9259285663654775
日,21,41,10.943199583116208,8.036064288514309,2.9071352946018987
傾,7,4,3.6477331943720688,0.7840062720501764,2.8637269223218924
直,7,4,3.6477331943720688,0.7840062720501764,2.8637269223218924
字,6,2,3.126628452318916,0.3920031360250882,2.734625316293828
士,6,2,3.126628452318916,0.3920031360250882,2.734625316293828
白,13,21,6.774361646690985,4.116032928263426,2.6583287184275592
亭,5,0,2.6055237102657633,0.0,2.6055237102657633
憂,5,0,2.6055237102657633,0.0,2.6055237102657633
還,7,6,3.6477331943720688,1.1760094080752646,2.4717237862968044
後,10,14,5.211047420531527,2.7440219521756175,2.467025468355909
臨,5,1,2.6055237102657633,0.1960015680125441,2.4095221422532194
國,5,1,2.6055237102657633,0.1960015680125441,2.4095221422532194
深,8,9,4.168837936425221,1.7640141121128967,2.404823824312324
身,8,9,4.168837936425221,1.7640141121128967,2.404823824312324
紫,8,9,4.168837936425221,1.7640141121128967,2.404823824312324
愧,6,4,3.126628452318916,0.7840062720501764,2.3426221802687395
談,5,2,2.6055237102657633,0.3920031360250882,2.2135205742406754
懷,5,3,2.6055237102657633,0.5880047040376323,2.017519006228131
席,5,3,2.6055237102657633,0.5880047040376323,2.017519006228131
草,5,3,2.6055237102657633,0.5880047040376323,2.017519006228131
去,5,3,2.6055237102657633,0.5880047040376323,2.017519006228131
靑,8,11,4.168837936425221,2.156017248137985,2.0128206882872357
平,8,11,4.168837936425221,2.156017248137985,2.0128206882872357
淸,17,35,8.858780614903596,6.860054880439043,1.9987257344645526
君,6,6,3.126628452318916,1.1760094080752646,1.9506190442436513
歸,6,6,3.126628452318916,1.1760094080752646,1.9506190442436513
古,9,14,4.689942678478374,2.7440219521756175,1.9459207263027567
補,4,1,2.0844189682126104,0.1960015680125441,1.8884174002000664
恢,4,1,2.0844189682126104,0.1960015680125441,1.8884174002000664
陽,4,1,2.0844189682126104,0.1960015680125441,1.8884174002000664
回,5,4,2.6055237102657633,0.7840062720501764,1.821517438215587
評,5,4,2.6055237102657633,0.7840062720501764,1.821517438215587
虛,5,4,2.6055237102657633,0.7840062720501764,1.821517438215587
丹,6,7,3.126628452318916,1.3720109760878088,1.754617476231107
須,12,23,6.253256904637832,4.508036064288515,1.745220840349317
爭,4,2,2.0844189682126104,0.3920031360250882,1.6924158321875222
偏,4,2,2.0844189682126104,0.3920031360250882,1.6924158321875222
知,9,16,4.689942678478374,3.1360250882007055,1.5539175902776687
盡,9,16,4.689942678478374,3.1360250882007055,1.5539175902776687
笑,4,3,2.0844189682126104,0.5880047040376323,1.496414264174978
但,4,3,2.0844189682126104,0.5880047040376323,1.496414264174978
耿,4,3,2.0844189682126104,0.5880047040376323,1.496414264174978
醉,7,11,3.6477331943720688,2.156017248137985,1.4917159462340837
未,5,6,2.6055237102657633,1.1760094080752646,1.4295143021904988
勝,8,14,4.168837936425221,2.7440219521756175,1.4248159842496033
樽,6,9,3.126628452318916,1.7640141121128967,1.3626143402060191
衆,4,4,2.0844189682126104,0.7840062720501764,1.300412696162434
最,4,4,2.0844189682126104,0.7840062720501764,1.300412696162434
月,4,4,2.0844189682126104,0.7840062720501764,1.300412696162434
山,4,4,2.0844189682126104,0.7840062720501764,1.300412696162434
榮,4,4,2.0844189682126104,0.7840062720501764,1.300412696162434
會,10,20,5.211047420531527,3.9200313602508823,1.2910160602806444
猶,5,7,2.6055237102657633,1.3720109760878088,1.2335127341779546
臣,5,7,2.6055237102657633,1.3720109760878088,1.2335127341779546
筆,5,7,2.6055237102657633,1.3720109760878088,1.2335127341779546
聖,5,7,2.6055237102657633,1.3720109760878088,1.2335127341779546
流,8,15,4.168837936425221,2.9400235201881615,1.2288144162370593
幅,3,2,1.563314226159458,0.3920031360250882,1.1713110901343697
小,3,2,1.563314226159458,0.3920031360250882,1.1713110901343697
銜,3,2,1.563314226159458,0.3920031360250882,1.1713110901343697
封,3,2,1.563314226159458,0.3920031360250882,1.1713110901343697
獻,3,2,1.563314226159458,0.3920031360250882,1.1713110901343697
如,6,10,3.126628452318916,1.9600156801254411,1.1666127721934747
題,6,10,3.126628452318916,1.9600156801254411,1.1666127721934747
百,4,5,2.0844189682126104,0.9800078400627206,1.1044111281498898
盛,4,5,2.0844189682126104,0.9800078400627206,1.1044111281498898
詩,4,5,2.0844189682126104,0.9800078400627206,1.1044111281498898
方,5,8,2.6055237102657633,1.5680125441003527,1.0375111661654106
四,5,8,2.6055237102657633,1.5680125441003527,1.0375111661654106
偶,3,3,1.563314226159458,0.5880047040376323,0.9753095221218256
雪,3,3,1.563314226159458,0.5880047040376323,0.9753095221218256
襟,3,3,1.563314226159458,0.5880047040376323,0.9753095221218256
位,3,3,1.563314226159458,0.5880047040376323,0.9753095221218256
戒,3,3,1.563314226159458,0.5880047040376323,0.9753095221218256
首,3,3,1.563314226159458,0.5880047040376323,0.9753095221218256
珍,3,3,1.563314226159458,0.5880047040376323,0.9753095221218256
少,3,3,1.563314226159458,0.5880047040376323,0.9753095221218256
議,3,3,1.563314226159458,0.5880047040376323,0.9753095221218256
千,4,6,2.0844189682126104,1.1760094080752646,0.9084095601373459
尊,4,6,2.0844189682126104,1.1760094080752646,0.9084095601373459
九,4,6,2.0844189682126104,1.1760094080752646,0.9084095601373459
今,7,14,3.6477331943720688,2.7440219521756175,0.9037112421964513
頭,7,14,3.6477331943720688,2.7440219521756175,0.9037112421964513
前,5,9,2.6055237102657633,1.7640141121128967,0.8415095981528666
照,5,9,2.6055237102657633,1.7640141121128967,0.8415095981528666
高,8,17,4.168837936425221,3.3320266562132494,0.8368112802119714
志,3,4,1.563314226159458,0.7840062720501764,0.7793079541092816
極,3,4,1.563314226159458,0.7840062720501764,0.7793079541092816
黃,3,4,1.563314226159458,0.7840062720501764,0.7793079541092816
紅,3,4,1.563314226159458,0.7840062720501764,0.7793079541092816
依,3,4,1.563314226159458,0.7840062720501764,0.7793079541092816
見,3,4,1.563314226159458,0.7840062720501764,0.7793079541092816
堂,3,4,1.563314226159458,0.7840062720501764,0.7793079541092816
留,4,7,2.0844189682126104,1.3720109760878088,0.7124079921248017
久,5,10,2.6055237102657633,1.9600156801254411,0.6455080301403222
書,5,10,2.6055237102657633,1.9600156801254411,0.6455080301403222
明,8,18,4.168837936425221,3.5280282242257934,0.6408097121994274
際,3,5,1.563314226159458,0.9800078400627206,0.5833063860967374
大,3,5,1.563314226159458,0.9800078400627206,0.5833063860967374
豈,3,5,1.563314226159458,0.9800078400627206,0.5833063860967374
氷,3,5,1.563314226159458,0.9800078400627206,0.5833063860967374
取,3,5,1.563314226159458,0.9800078400627206,0.5833063860967374
朝,9,21,4.689942678478374,4.116032928263426,0.5739097502149484
路,4,8,2.0844189682126104,1.5680125441003527,0.5164064241122577
許,4,8,2.0844189682126104,1.5680125441003527,0.5164064241122577
當,4,8,2.0844189682126104,1.5680125441003527,0.5164064241122577
節,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
覺,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
宇,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
脩,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
治,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
箇,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
至,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
載,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
居,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
昭,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
傑,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
微,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
朋,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
院,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
誠,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
酬,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
却,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
到,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
皁,2,3,1.0422094841063052,0.5880047040376323,0.45420478006867293
從,5,11,2.6055237102657633,2.156017248137985,0.44950646212777823
中,8,19,4.168837936425221,3.7240297922383383,0.4448081441868825
仙,3,6,1.563314226159458,1.1760094080752646,0.38730481808419337
妨,3,6,1.563314226159458,1.1760094080752646,0.38730481808419337
容,3,6,1.563314226159458,1.1760094080752646,0.38730481808419337
秋,3,6,1.563314226159458,1.1760094080752646,0.38730481808419337
列,3,6,1.563314226159458,1.1760094080752646,0.38730481808419337
要,6,14,3.126628452318916,2.7440219521756175,0.38260650014329833
筵,4,9,2.0844189682126104,1.7640141121128967,0.3204048560997137
才,4,9,2.0844189682126104,1.7640141121128967,0.3204048560997137
傳,7,17,3.6477331943720688,3.3320266562132494,0.3157065381588193
納,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
下,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
休,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
稱,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
聊,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
識,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
遊,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
稀,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
江,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
唯,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
幾,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
點,2,4,1.0422094841063052,0.7840062720501764,0.25820321205612884
五,5,12,2.6055237102657633,2.352018816150529,0.25350489411523425
誰,5,12,2.6055237102657633,2.352018816150529,0.25350489411523425
尋,3,7,1.563314226159458,1.3720109760878088,0.19130325007164917
義,3,7,1.563314226159458,1.3720109760878088,0.19130325007164917
