token,count_a,count_b,log_odds,z
霜,32,7,1.6908355421425112,5.2106121408452255
臺,36,14,1.312221336895938,4.958342049382484
驄,25,0,2.661467678365585,4.789236294180366
鐵,16,1,2.2670655119373,3.88081657942615
烏,12,1,2.164250494724537,3.351610300110973
乘,13,3,1.652328282810826,3.2876398140441796
寒,13,3,1.652328282810826,3.2876398140441796
柏,11,1,2.1295505456396118,3.204072174457216
蘭,14,5,1.3656953693188605,3.1477390236946734
班,11,2,1.7926749273290579,3.1016852923074074
馬,16,8,1.1248036602798264,3.0257768252615365
御,10,3,1.4831367416019168,2.7627273028903767
史,10,3,1.4831367416019168,2.7627273028903767
避,9,2,1.6742167473907497,2.7465544692349737
面,11,5,1.1933130863996881,2.5960722090871906
冠,10,4,1.2849505879003065,2.577807652422772
威,10,4,1.2849505879003065,2.577807652422772
栢,7,0,2.655342071187209,2.528392892677578
行,12,7,1.0088218755258724,2.4468192493944936
風,26,27,0.5681579368828178,2.350560246847906
摠,8,3,1.3299515807488174,2.3466783965801254
凜,7,2,1.5145130292999873,2.331392871186053
街,6,1,1.83948142948483,2.3049092979982198
凌,5,0,2.6546641062398617,2.136336419734704
帶,5,0,2.6546641062398617,2.136336419734704
秩,5,0,2.6546641062398617,2.136336419734704
喝,5,0,2.6546641062398617,2.136336419734704
曉,5,0,2.6546641062398617,2.136336419734704
張,5,1,1.7359240221011687,2.070128979521723
鳴,5,1,1.7359240221011687,2.070128979521723
府,7,4,1.0230672961629148,1.8850120184508823
莫,10,8,0.7672798663424727,1.843269840250501
道,10,8,0.7672798663424727,1.843269840250501
子,5,2,1.283564098994356,1.8208184476990321
挺,4,1,1.5996642593725205,1.8004489476338659
逢,4,1,1.5996642593725205,1.8004489476338659
臭,4,1,1.5996642593725205,1.8004489476338659
肝,8,6,0.8165330373421851,1.7257485895658837
處,7,5,0.8537415329512843,1.6668025042297343
聯,7,5,0.8537415329512843,1.6668025042297343
繪,7,5,0.8537415329512843,1.6668025042297343
心,19,23,0.4479087187929718,1.6452875740638986
中,13,14,0.5376059310317771,1.5870043498469821
氷,5,3,0.9858619606068117,1.5548412520147181
老,5,3,0.9858619606068117,1.5548412520147181
陰,4,2,1.1216578579512886,1.5086572316172857
鶚,4,2,1.1216578579512886,1.5086572316172857
仍,4,2,1.1216578579512886,1.5086572316172857
毋,4,2,1.1216578579512886,1.5086572316172857
馨,4,2,1.1216578579512886,1.5086572316172857
筵,7,6,0.713366315663718,1.4592305804239458
立,7,6,0.713366315663718,1.4592305804239458
歲,7,6,0.713366315663718,1.4592305804239458
畫,16,20,0.42262442739922346,1.435835570402717
名,17,22,0.3959647981629306,1.3984630591907008
托,6,5,0.7349232681807978,1.3818832781480788
神,6,5,0.7349232681807978,1.3818832781480788
如,8,8,0.5941838952098539,1.350801559316304
題,8,8,0.5941838952098539,1.350801559316304
參,5,4,0.7662032546325328,1.301559748841132
殿,5,4,0.7662032546325328,1.301559748841132
腸,5,4,0.7662032546325328,1.301559748841132
舊,9,10,0.5126986813296623,1.2690802059969546
敎,4,3,0.8156415113290336,1.218956166618001
終,4,3,0.8156415113290336,1.218956166618001
爲,10,12,0.45328975435705043,1.2053696845227944
賢,8,9,0.5029117618074128,1.1772708416741435
誰,8,9,0.5029117618074128,1.1772708416741435
石,6,6,0.5938154130350295,1.1691029986218446
交,6,6,0.5938154130350295,1.1691029986218446
嚴,6,6,0.5938154130350295,1.1691029986218446
論,6,6,0.5938154130350295,1.1691029986218446
分,14,19,0.3588985576716004,1.1636772688511234
物,3,2,0.9055112596808312,1.1369025025187207
獨,3,2,0.9055112596808312,1.1369025025187207
使,3,2,0.9055112596808312,1.1369025025187207
趨,3,2,0.9055112596808312,1.1369025025187207
皁,3,2,0.9055112596808312,1.1369025025187207
禮,3,2,0.9055112596808312,1.1369025025187207
迹,3,2,0.9055112596808312,1.1369025025187207
衣,7,8,0.49055819970633774,1.0783704418517208
聲,7,8,0.49055819970633774,1.0783704418517208
忘,7,8,0.49055819970633774,1.0783704418517208
數,5,5,0.5936313482816837,1.06690932860497
才,6,7,0.4744486808906636,0.9705112349653245
公,6,7,0.4744486808906636,0.9705112349653245
蒼,4,4,0.5934474009302599,0.9539770152700419
濟,4,4,0.5934474009302599,0.9539770152700419
寧,4,4,0.5934474009302599,0.9539770152700419
簡,4,4,0.5934474009302599,0.9539770152700419
擬,4,4,0.5934474009302599,0.9539770152700419
