token,count_a,count_b,log_odds,z
霜,32,7,1.7017144931114716,5.219913916636959
臺,36,14,1.320027475932804,4.970262316002327
驄,25,0,2.6867894818851665,4.7806954040360745
鐵,16,1,2.285047591129734,3.8814966465392002
烏,12,1,2.1807507137815634,3.353510517473493
乘,13,3,1.663014646788616,3.2940087838018237
寒,13,3,1.663014646788616,3.2940087838018237
柏,11,1,2.1455782186033767,3.206280055710898
蘭,14,5,1.3740437920162938,3.155393634528198
班,11,2,1.804723299481676,3.106772202136121
馬,16,8,1.1314968674944739,3.0340777505820133
御,10,3,1.4924118890423905,2.768977356632794
史,10,3,1.4924118890423905,2.768977356632794
避,9,2,1.6851361981038453,2.751795153350687
面,11,5,1.2004835663351194,2.603042552052097
威,10,4,1.2927502069616885,2.584426049637536
冠,10,4,1.2927502069616885,2.584426049637536
栢,7,0,2.6807753931221434,2.524043751784529
行,12,7,1.0148206270905842,2.453907934870888
風,26,27,0.5715820237460933,2.3581288104384766
摠,8,3,1.3380838246627835,2.352574775946261
凜,7,2,1.5240641394311432,2.3365705813723046
街,6,1,1.8520597151616034,2.3084705262810803
凌,5,0,2.6801097143245647,2.1326766071793646
秩,5,0,2.6801097143245647,2.1326766071793646
曉,5,0,2.6801097143245647,2.1326766071793646
喝,5,0,2.6801097143245647,2.1326766071793646
帶,5,0,2.6801097143245647,2.1326766071793646
二,6,2,1.4196656762421567,2.0963861646383313
張,5,1,1.7474610375821493,2.073836643024675
鳴,5,1,1.7474610375821493,2.073836643024675
府,7,4,1.0291829327867,1.890496565283628
道,10,8,0.7718834931693728,1.849080710888533
莫,10,8,0.7718834931693728,1.849080710888533
子,5,2,1.2913888249931382,1.8255407003523936
挺,4,1,1.6099567092762,1.8041875136263692
臭,4,1,1.6099567092762,1.8041875136263692
逢,4,1,1.6099567092762,1.8041875136263692
肝,8,6,0.8214267494793734,1.7311296330948887
繪,7,5,0.8588541632020599,1.6719491142284768
聯,7,5,0.8588541632020599,1.6719491142284768
處,7,5,0.8588541632020599,1.6719491142284768
十,7,5,0.8588541632020599,1.6719491142284768
心,19,23,0.4506984975681707,1.6508676590164701
中,13,14,0.5409161695469615,1.5923157744346568
氷,5,3,0.9917639016039166,1.5594466471132182
老,5,3,0.9917639016039166,1.5594466471132182
陰,4,2,1.1284080901798053,1.512897639554451
仍,4,2,1.1284080901798053,1.512897639554451
馨,4,2,1.1284080901798053,1.512897639554451
毋,4,2,1.1284080901798053,1.512897639554451
鶚,4,2,1.1284080901798053,1.512897639554451
歲,7,6,0.7176815215335486,1.4639342957626356
筵,7,6,0.7176815215335486,1.4639342957626356
四,7,6,0.7176815215335486,1.4639342957626356
立,7,6,0.7176815215335486,1.4639342957626356
畫,16,20,0.42528400222837703,1.4407816172259833
名,17,22,0.3984717697184781,1.4033141249918464
神,6,5,0.7393646025630671,1.3863186197447646
托,6,5,0.7393646025630671,1.3863186197447646
題,8,8,0.5978293278407563,1.3552988413870395
如,8,8,0.5978293278407563,1.3552988413870395
參,5,4,0.770826320311861,1.3057067589658475
腸,5,4,0.770826320311861,1.3057067589658475
殿,5,4,0.770826320311861,1.3057067589658475
舊,9,10,0.5158865636526944,1.2733981254944964
終,4,3,0.8205513106785087,1.2227889201917541
敎,4,3,0.8205513106785087,1.2227889201917541
爲,10,12,0.4561421134189727,1.209538146980173
誰,8,9,0.5060489821948506,1.1812974267281469
賢,8,9,0.5060489821948506,1.1812974267281469
嚴,6,6,0.5974674796313133,1.1730128068011263
交,6,6,0.5974674796313133,1.1730128068011263
論,6,6,0.5974674796313133,1.1730128068011263
石,6,6,0.5974674796313133,1.1730128068011263
分,14,19,0.3612061921033831,1.1678019194819953
使,3,2,0.9109471698906253,1.140380659635626
獨,3,2,0.9109471698906253,1.140380659635626
物,3,2,0.9109471698906253,1.140380659635626
趨,3,2,0.9109471698906253,1.140380659635626
迹,3,2,0.9109471698906253,1.140380659635626
皁,3,2,0.9109471698906253,1.140380659635626
禮,3,2,0.9109471698906253,1.140380659635626
聲,7,8,0.49363025412517736,1.0820812396962265
衣,7,8,0.49363025412517736,1.0820812396962265
忘,7,8,0.49363025412517736,1.0820812396962265
數,5,5,0.5972867245918083,1.0704853332039002
才,6,7,0.4774342943316494,0.973875481636825
公,6,7,0.4774342943316494,0.973875481636825
膽,4,4,0.5971060821181275,0.957181613477685
擬,4,4,0.5971060821181275,0.957181613477685
濟,4,4,0.5971060821181275,0.957181613477685
寧,4,4,0.5971060821181275,0.957181613477685
蒼,4,4,0.5971060821181275,0.957181613477685
簡,4,4,0.5971060821181275,0.957181613477685
契,14,21,0.28398096805254713,0.9405781975269771
傳,10,14,0.3366808965756052,0.9269090089094152
故,3,3,0.5969255521022081,0.8286929691640775
趁,3,3,0.5969255521022081,0.8286929691640775
動,3,3,0.5969255521022081,0.8286929691640775
聊,3,3,0.5969255521022081,0.8286929691640775
年,10,15,0.2835605645891581,0.7937568512376644
照,6,8,0.37387001352747884,0.7879186546496286
成,6,8,0.37387001352747884,0.7879186546496286
前,6,8,0.37387001352747884,0.7879186546496286
南,4,5,0.42356647530844427,0.7174814807281386
百,4,5,0.42356647530844427,0.7174814807281386
情,4,5,0.42356647530844427,0.7174814807281386
評,4,5,0.42356647530844427,0.7174814807281386
上,9,14,0.2555743132862318,0.6846553981842494
路,5,7,0.3360808643120947,0.6542555505591103
期,5,7,0.3360808643120947,0.6542555505591103
須,13,22,0.19162172208487593,0.6295064680339683
開,7,11,0.24761829937977176,0.5864380425786828
飛,3,4,0.3734803124628421,0.5565618896052771
塵,3,4,0.3734803124628421,0.5565618896052771
堂,3,4,0.3734803124628421,0.5565618896052771
笑,3,4,0.3734803124628421,0.5565618896052771
端,3,4,0.3734803124628421,0.5565618896052771
好,3,4,0.3734803124628421,0.5565618896052771
紅,3,4,0.3734803124628421,0.5565618896052771
西,3,4,0.3734803124628421,0.5565618896052771
手,3,4,0.3734803124628421,0.5565618896052771
選,9,15,0.2029236186920187,0.5526567134119155
他,9,15,0.2029236186920187,0.5526567134119155
群,4,6,0.28293230359519406,0.5009036377528459
然,4,6,0.28293230359519406,0.5009036377528459
雲,6,10,0.20268569513791412,0.4507132450704095
節,2,3,0.2827235055793551,0.35393097255661127
寀,2,3,0.2827235055793551,0.35393097255661127
微,2,3,0.2827235055793551,0.35393097255661127
松,2,3,0.2827235055793551,0.35393097255661127
肅,2,3,0.2827235055793551,0.35393097255661127
儀,2,3,0.2827235055793551,0.35393097255661127
至,2,3,0.2827235055793551,0.35393097255661127
存,2,3,0.2827235055793551,0.35393097255661127
運,2,3,0.2827235055793551,0.35393097255661127
罷,2,3,0.2827235055793551,0.35393097255661127
眼,2,3,0.2827235055793551,0.35393097255661127
耐,2,3,0.2827235055793551,0.35393097255661127
齊,2,3,0.2827235055793551,0.35393097255661127
華,2,3,0.2827235055793551,0.35393097255661127
着,2,3,0.2827235055793551,0.35393097255661127
孤,2,3,0.2827235055793551,0.35393097255661127
到,2,3,0.2827235055793551,0.35393097255661127
去,3,5,0.2024483307528655,0.31832916089772023
樂,3,5,0.2024483307528655,0.31832916089772023
聞,3,5,0.2024483307528655,0.31832916089772023
意,3,5,0.2024483307528655,0.31832916089772023
集,3,5,0.2024483307528655,0.31832916089772023
