token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
臺,36,14,16.74418604651163,2.979991485738612,13.764194560773017
霜,32,7,14.88372093023256,1.489995742869306,13.393725187363254
驄,25,0,11.627906976744185,0.0,11.627906976744185
鐵,16,1,7.44186046511628,0.21285653469561516,7.229003930420665
風,26,27,12.093023255813954,5.747126436781609,6.345896819032345
馬,16,8,7.44186046511628,1.7028522775649213,5.7390081875513586
蘭,14,5,6.511627906976744,1.0642826734780757,5.447345233498669
寒,13,3,6.046511627906977,0.6385696040868455,5.407942023820131
乘,13,3,6.046511627906977,0.6385696040868455,5.407942023820131
烏,12,1,5.5813953488372094,0.21285653469561516,5.368538814141594
柏,11,1,5.116279069767441,0.21285653469561516,4.903422535071826
班,11,2,5.116279069767441,0.4257130693912303,4.690566000376211
行,12,7,5.5813953488372094,1.489995742869306,4.091399605967903
面,11,5,5.116279069767441,1.0642826734780757,4.051996396289366
御,10,3,4.651162790697675,0.6385696040868455,4.012593186610829
史,10,3,4.651162790697675,0.6385696040868455,4.012593186610829
心,19,23,8.837209302325581,4.895700297999148,3.9415090043264334
威,10,4,4.651162790697675,0.8514261387824607,3.799736651915214
冠,10,4,4.651162790697675,0.8514261387824607,3.799736651915214
避,9,2,4.186046511627907,0.4257130693912303,3.7603334422366768
栢,7,0,3.255813953488372,0.0,3.255813953488372
名,17,22,7.9069767441860455,4.682843763303533,3.224132980882512
畫,16,20,7.44186046511628,4.257130693912303,3.184729771203977
摠,8,3,3.72093023255814,0.6385696040868455,3.0823606284712946
中,13,14,6.046511627906977,2.979991485738612,3.0665201421683648
道,10,8,4.651162790697675,1.7028522775649213,2.9483105131327534
莫,10,8,4.651162790697675,1.7028522775649213,2.9483105131327534
凜,7,2,3.255813953488372,0.4257130693912303,2.830100884097142
街,6,1,2.7906976744186047,0.21285653469561516,2.5778411397229894
分,14,19,6.511627906976744,4.044274159216688,2.467353747760056
肝,8,6,3.72093023255814,1.277139208173691,2.443791024384449
府,7,4,3.255813953488372,0.8514261387824607,2.4043878147059115
帶,5,0,2.3255813953488373,0.0,2.3255813953488373
秩,5,0,2.3255813953488373,0.0,2.3255813953488373
曉,5,0,2.3255813953488373,0.0,2.3255813953488373
凌,5,0,2.3255813953488373,0.0,2.3255813953488373
喝,5,0,2.3255813953488373,0.0,2.3255813953488373
處,7,5,3.255813953488372,1.0642826734780757,2.191531280010296
繪,7,5,3.255813953488372,1.0642826734780757,2.191531280010296
聯,7,5,3.255813953488372,1.0642826734780757,2.191531280010296
張,5,1,2.3255813953488373,0.21285653469561516,2.112724860653222
鳴,5,1,2.3255813953488373,0.21285653469561516,2.112724860653222
