token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
臺,36,14,16.33393829401089,2.9063732613659954,13.427565032644893
霜,32,7,14.519056261343012,1.4531866306829977,13.065869630660014
驄,25,0,11.343012704174228,0.0,11.343012704174228
鐵,16,1,7.259528130671506,0.2075980900975711,7.051930040573935
風,26,27,11.796733212341199,5.60514843263442,6.191584779706779
馬,16,8,7.259528130671506,1.6607847207805688,5.598743409890937
蘭,14,5,6.352087114337568,1.0379904504878554,5.314096663849712
寒,13,3,5.898366606170599,0.6227942702927133,5.275572335877886
乘,13,3,5.898366606170599,0.6227942702927133,5.275572335877886
烏,12,1,5.44464609800363,0.2075980900975711,5.237048007906059
柏,11,1,4.99092558983666,0.2075980900975711,4.783327499739089
班,11,2,4.99092558983666,0.4151961801951422,4.575729409641518
行,12,7,5.44464609800363,1.4531866306829977,3.991459467320632
面,11,5,4.99092558983666,1.0379904504878554,3.9529351393488046
史,10,3,4.537205081669692,0.6227942702927133,3.914410811376978
御,10,3,4.537205081669692,0.6227942702927133,3.914410811376978
心,19,23,8.620689655172413,4.774756072244135,3.8459335829282777
冠,10,4,4.537205081669692,0.8303923603902844,3.706812721279407
威,10,4,4.537205081669692,0.8303923603902844,3.706812721279407
避,9,2,4.083484573502722,0.4151961801951422,3.66828839330758
栢,7,0,3.176043557168784,0.0,3.176043557168784
名,17,22,7.713248638838476,4.567157982146564,3.1460906566919116
畫,16,20,7.259528130671506,4.151961801951422,3.1075663287200843
摠,8,3,3.629764065335753,0.6227942702927133,3.0069697950430396
中,13,14,5.898366606170599,2.9063732613659954,2.991993344804604
莫,10,8,4.537205081669692,1.6607847207805688,2.8764203608891226
道,10,8,4.537205081669692,1.6607847207805688,2.8764203608891226
凜,7,2,3.176043557168784,0.4151961801951422,2.7608473769736417
街,6,1,2.722323049001815,0.2075980900975711,2.5147249589042437
分,14,19,6.352087114337568,3.944363711853851,2.407723402483717
肝,8,6,3.629764065335753,1.2455885405854266,2.3841755247503267
府,7,4,3.176043557168784,0.8303923603902844,2.3456511967784994
二,6,2,2.722323049001815,0.4151961801951422,2.3071268688066726
凌,5,0,2.268602540834846,0.0,2.268602540834846
曉,5,0,2.268602540834846,0.0,2.268602540834846
喝,5,0,2.268602540834846,0.0,2.268602540834846
帶,5,0,2.268602540834846,0.0,2.268602540834846
秩,5,0,2.268602540834846,0.0,2.268602540834846
聯,7,5,3.176043557168784,1.0379904504878554,2.1380531066809283
十,7,5,3.176043557168784,1.0379904504878554,2.1380531066809283
繪,7,5,3.176043557168784,1.0379904504878554,2.1380531066809283
處,7,5,3.176043557168784,1.0379904504878554,2.1380531066809283
鳴,5,1,2.268602540834846,0.2075980900975711,2.0610044507372747
張,5,1,2.268602540834846,0.2075980900975711,2.0610044507372747
爲,10,12,4.537205081669692,2.491177081170853,2.0460280004988385
舊,9,10,4.083484573502722,2.075980900975711,2.0075036725270112
契,14,21,6.352087114337568,4.359559892048994,1.9925272222885742
題,8,8,3.629764065335753,1.6607847207805688,1.9689793445551842
如,8,8,3.629764065335753,1.6607847207805688,1.9689793445551842
筵,7,6,3.176043557168784,1.2455885405854266,1.9304550165833574
四,7,6,3.176043557168784,1.2455885405854266,1.9304550165833574
