token,count_a,count_b,log_odds,z
銀,13,0,2.9435455403594304,3.8195966151670766
斗,10,2,2.0234462315416026,3.412505486675622
鳳,9,1,2.328790178443181,3.2866514040788624
綸,8,2,1.886686165442999,3.003078137976655
喉,8,0,2.9414465305485304,2.9942014482090658
恩,9,4,1.4950367144816363,2.924731266581108
龍,9,4,1.4950367144816363,2.924731266581108
露,7,1,2.20698456952526,2.888880338794579
頻,7,2,1.8002536398149633,2.7712528192189025
接,6,1,2.1251143729896746,2.662813442474034
絲,6,1,2.1251143729896746,2.662813442474034
辰,6,1,2.1251143729896746,2.662813442474034
光,7,3,1.5205581046743673,2.598578236359409
禁,8,5,1.2416376557253583,2.5034406931837667
色,7,4,1.3088633042783977,2.411594103660244
舌,5,0,2.940189471104296,2.3661124709813235
雨,6,3,1.4078691178096356,2.3191993882126556
晨,6,3,1.4078691178096356,2.3191993882126556
仙,6,3,1.4078691178096356,2.3191993882126556
夜,5,2,1.569144794581991,2.2259330806496487
池,5,2,1.569144794581991,2.2259330806496487
尺,5,2,1.569144794581991,2.2259330806496487
波,5,2,1.569144794581991,2.2259330806496487
環,4,1,1.8851374311881894,2.1217537894228764
咫,4,1,1.8851374311881894,2.1217537894228764
荷,4,1,1.8851374311881894,2.1217537894228764
燭,4,1,1.8851374311881894,2.1217537894228764
香,6,4,1.1919340552561755,2.1163943510629735
星,6,4,1.1919340552561755,2.1163943510629735
北,7,6,0.999217752854916,2.043955636049033
漏,6,5,1.02066697142644,1.9191699071708512
洲,4,2,1.4071586902100668,1.8926628284814455
勤,4,2,1.4071586902100668,1.8926628284814455
出,4,2,1.4071586902100668,1.8926628284814455
近,4,2,1.4071586902100668,1.8926628284814455
納,4,2,1.4071586902100668,1.8926628284814455
早,4,2,1.4071586902100668,1.8926628284814455
曾,7,7,0.8798787588484025,1.8711023182239788
職,5,4,1.0518393123717704,1.786773552519574
南,5,4,1.0518393123717704,1.786773552519574
黃,4,3,1.1011700118862846,1.6456714841504958
佩,4,3,1.1011700118862846,1.6456714841504958
極,4,3,1.1011700118862846,1.6456714841504958
離,4,3,1.1011700118862846,1.6456714841504958
切,5,5,0.8792950988926478,1.580321097126503
將,5,5,0.8792950988926478,1.580321097126503
從,7,9,0.6855271154762104,1.5511483386093963
地,11,18,0.5020808735587092,1.5096257810714653
署,3,2,1.1909322912659865,1.4952590459757442
酬,3,2,1.1909322912659865,1.4952590459757442
罷,3,2,1.1909322912659865,1.4952590459757442
元,3,2,1.1909322912659865,1.4952590459757442
僚,4,4,0.8790035776454568,1.4130135343072217
望,4,4,0.8790035776454568,1.4130135343072217
親,4,4,0.8790035776454568,1.4130135343072217
氣,5,6,0.7382149327131327,1.3880726265759307
新,6,9,0.5671121819236724,1.2332722830468326
眞,6,9,0.5671121819236724,1.2332722830468326
司,6,9,0.5671121819236724,1.2332722830468326
書,6,9,0.5671121819236724,1.2332722830468326
珍,3,3,0.8787122619120007,1.2233000611424703
密,3,3,0.8787122619120007,1.2233000611424703
稱,3,3,0.8787122619120007,1.2233000611424703
形,3,3,0.8787122619120007,1.2233000611424703
芳,4,5,0.7064593435528028,1.200071965502214
容,4,5,0.7064593435528028,1.200071965502214
群,4,6,0.5666562657725471,1.0061530791799602
要,7,13,0.40611289681200446,1.0040108197386122
顏,3,4,0.6565458070806756,0.9811915517935635
似,3,4,0.6565458070806756,0.9811915517935635
披,3,4,0.6565458070806756,0.9811915517935635
彥,3,4,0.6565458070806756,0.9811915517935635
塵,3,4,0.6565458070806756,0.9811915517935635
飛,3,4,0.6565458070806756,0.9811915517935635
玉,6,11,0.4155620114039298,0.9482369446852257
在,4,7,0.45001884648596935,0.8291643544242193
留,4,7,0.45001884648596935,0.8291643544242193
淸,15,37,0.19948676037834367,0.772500292164956
修,3,5,0.4865369450569528,0.7673363442668382
草,3,5,0.4865369450569528,0.7673363442668382
際,3,5,0.4865369450569528,0.7673363442668382
最,3,5,0.4865369450569528,0.7673363442668382
蒼,3,5,0.4865369450569528,0.7673363442668382
大,3,5,0.4865369450569528,0.7673363442668382
擬,3,5,0.4865369450569528,0.7673363442668382
同,11,26,0.22969803117984888,0.7539867170264709
忘,5,10,0.35075790512458926,0.7459464433760002
難,5,10,0.35075790512458926,0.7459464433760002
孤,2,3,0.5662011015412016,0.7108861898613399
獨,2,3,0.5662011015412016,0.7108861898613399
設,2,3,0.5662011015412016,0.7108861898613399
