token,count_a,count_b,log_odds,z
銀,13,0,2.972650247806488,3.814195249895222
斗,10,2,2.0386638527920526,3.421587597411067
鳳,9,1,2.3474064103187455,3.292129427420495
六,8,1,2.2914644635867356,3.101180542574525
綸,8,2,1.9006662055145824,3.0122313577201965
喉,8,0,2.970584077984026,2.990021235080829
恩,9,4,1.506033274255497,2.9364226149563106
龍,9,4,1.506033274255497,2.9364226149563106
露,7,1,2.224161261213318,2.8949468332302146
頻,7,2,1.8135144871718891,2.7803321986172636
絲,6,1,2.141403310384181,2.669118272178
辰,6,1,2.141403310384181,2.669118272178
接,6,1,2.141403310384181,2.669118272178
光,7,3,1.5317425291532496,2.608837341079623
禁,8,5,1.2510493844875281,2.514917066593634
色,7,4,1.3186876404760248,2.422285072539743
舌,5,0,2.9693466428583646,2.362834659336532
仙,6,3,1.418319516107995,2.3289655390183595
雨,6,3,1.418319516107995,2.3289655390183595
晨,6,3,1.418319516107995,2.3289655390183595
波,5,2,1.5806800495100477,2.2344902702955953
夜,5,2,1.5806800495100477,2.2344902702955953
尺,5,2,1.5806800495100477,2.2344902702955953
池,5,2,1.5806800495100477,2.2344902702955953
環,4,1,1.8991413208904886,2.128260367511959
荷,4,1,1.8991413208904886,2.128260367511959
燭,4,1,1.8991413208904886,2.128260367511959
咫,4,1,1.8991413208904886,2.128260367511959
星,6,4,1.2010663122203828,2.126369019475245
香,6,4,1.2010663122203828,2.126369019475245
北,7,6,1.0072406193289218,2.0545799807831306
漏,6,5,1.0288168838205722,1.9290455580426384
洲,4,2,1.4176198451011857,1.900654325419966
早,4,2,1.4176198451011857,1.900654325419966
納,4,2,1.4176198451011857,1.900654325419966
近,4,2,1.4176198451011857,1.900654325419966
勤,4,2,1.4176198451011857,1.900654325419966
出,4,2,1.4176198451011857,1.900654325419966
曾,7,7,0.8872346515119363,1.8814833186326048
五,8,9,0.7957694349012021,1.8576075020258527
職,5,4,1.0601718709257488,1.7958307092746506
南,5,4,1.0601718709257488,1.7958307092746506
佩,4,3,1.1097902164338542,1.6538139208752205
黃,4,3,1.1097902164338542,1.6538139208752205
極,4,3,1.1097902164338542,1.6538139208752205
離,4,3,1.1097902164338542,1.6538139208752205
切,5,5,0.886659449556511,1.5891127279708939
將,5,5,0.886659449556511,1.5891127279708939
從,7,9,0.6917936276241168,1.560879504472566
地,11,18,0.5072671997441143,1.5206573061690034
