token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
銀,13,0,8.135168961201503,0.0,8.135168961201503
斗,10,2,6.257822277847309,0.380952380952381,5.876869896894927
鳳,9,1,5.632040050062578,0.1904761904761905,5.441563859586387
喉,8,0,5.006257822277847,0.0,5.006257822277847
恩,9,4,5.632040050062578,0.761904761904762,4.870135288157816
龍,9,4,5.632040050062578,0.761904761904762,4.870135288157816
綸,8,2,5.006257822277847,0.380952380952381,4.625305441325466
露,7,1,4.380475594493117,0.1904761904761905,4.189999404016926
禁,8,5,5.006257822277847,0.9523809523809523,4.053876869896895
頻,7,2,4.380475594493117,0.380952380952381,3.9995232135407357
光,7,3,4.380475594493117,0.5714285714285715,3.809047023064545
色,7,4,4.380475594493117,0.761904761904762,3.6185708325883548
接,6,1,3.7546933667083855,0.1904761904761905,3.564217176232195
絲,6,1,3.7546933667083855,0.1904761904761905,3.564217176232195
辰,6,1,3.7546933667083855,0.1904761904761905,3.564217176232195
地,11,18,6.88360450563204,3.4285714285714284,3.455033077060612
北,7,6,4.380475594493117,1.142857142857143,3.2376184516359734
仙,6,3,3.7546933667083855,0.5714285714285715,3.183264795279814
雨,6,3,3.7546933667083855,0.5714285714285715,3.183264795279814
晨,6,3,3.7546933667083855,0.5714285714285715,3.183264795279814
舌,5,0,3.1289111389236544,0.0,3.1289111389236544
曾,7,7,4.380475594493117,1.3333333333333333,3.0471422611597836
香,6,4,3.7546933667083855,0.761904761904762,2.9927886048036236
星,6,4,3.7546933667083855,0.761904761904762,2.9927886048036236
漏,6,5,3.7546933667083855,0.9523809523809523,2.8023124143274334
波,5,2,3.1289111389236544,0.380952380952381,2.7479587579712734
夜,5,2,3.1289111389236544,0.380952380952381,2.7479587579712734
尺,5,2,3.1289111389236544,0.380952380952381,2.7479587579712734
池,5,2,3.1289111389236544,0.380952380952381,2.7479587579712734
從,7,9,4.380475594493117,1.7142857142857142,2.666189880207402
職,5,4,3.1289111389236544,0.761904761904762,2.3670063770188925
南,5,4,3.1289111389236544,0.761904761904762,2.3670063770188925
淸,15,37,9.386733416770964,7.0476190476190474,2.3391143691519165
燭,4,1,2.5031289111389237,0.1904761904761905,2.312652720662733
環,4,1,2.5031289111389237,0.1904761904761905,2.312652720662733
咫,4,1,2.5031289111389237,0.1904761904761905,2.312652720662733
荷,4,1,2.5031289111389237,0.1904761904761905,2.312652720662733
切,5,5,3.1289111389236544,0.9523809523809523,2.176530186542702
將,5,5,3.1289111389236544,0.9523809523809523,2.176530186542702
洲,4,2,2.5031289111389237,0.380952380952381,2.1221765301865427
近,4,2,2.5031289111389237,0.380952380952381,2.1221765301865427
勤,4,2,2.5031289111389237,0.380952380952381,2.1221765301865427
納,4,2,2.5031289111389237,0.380952380952381,2.1221765301865427
早,4,2,2.5031289111389237,0.380952380952381,2.1221765301865427
出,4,2,2.5031289111389237,0.380952380952381,2.1221765301865427
眞,6,9,3.7546933667083855,1.7142857142857142,2.0404076524226715
新,6,9,3.7546933667083855,1.7142857142857142,2.0404076524226715
書,6,9,3.7546933667083855,1.7142857142857142,2.0404076524226715
司,6,9,3.7546933667083855,1.7142857142857142,2.0404076524226715
氣,5,6,3.1289111389236544,1.142857142857143,1.9860539960665113
離,4,3,2.5031289111389237,0.5714285714285715,1.931700339710352
極,4,3,2.5031289111389237,0.5714285714285715,1.931700339710352
黃,4,3,2.5031289111389237,0.5714285714285715,1.931700339710352
佩,4,3,2.5031289111389237,0.5714285714285715,1.931700339710352
同,11,26,6.88360450563204,4.952380952380952,1.9312235532510886
要,7,13,4.380475594493117,2.476190476190476,1.9042851183026408
臺,14,36,8.760951188986233,6.857142857142857,1.9038083318433765
親,4,4,2.5031289111389237,0.761904761904762,1.7412241492341618
僚,4,4,2.5031289111389237,0.761904761904762,1.7412241492341618
望,4,4,2.5031289111389237,0.761904761904762,1.7412241492341618
玉,6,11,3.7546933667083855,2.0952380952380953,1.6594552714702901
會,9,21,5.632040050062578,4.0,1.632040050062578
芳,4,5,2.5031289111389237,0.9523809523809523,1.5507479587579713
容,4,5,2.5031289111389237,0.9523809523809523,1.5507479587579713
元,3,2,1.8773466833541927,0.380952380952381,1.4963943024018118
酬,3,2,1.8773466833541927,0.380952380952381,1.4963943024018118
署,3,2,1.8773466833541927,0.380952380952381,1.4963943024018118
罷,3,2,1.8773466833541927,0.380952380952381,1.4963943024018118
群,4,6,2.5031289111389237,1.142857142857143,1.3602717682817806
密,3,3,1.8773466833541927,0.5714285714285715,1.3059181119256213
稱,3,3,1.8773466833541927,0.5714285714285715,1.3059181119256213
形,3,3,1.8773466833541927,0.5714285714285715,1.3059181119256213
珍,3,3,1.8773466833541927,0.5714285714285715,1.3059181119256213
忘,5,10,3.1289111389236544,1.9047619047619047,1.2241492341617497
難,5,10,3.1289111389236544,1.9047619047619047,1.2241492341617497
在,4,7,2.5031289111389237,1.3333333333333333,1.1697955778055904
留,4,7,2.5031289111389237,1.3333333333333333,1.1697955778055904
彥,3,4,1.8773466833541927,0.761904761904762,1.1154419214494307
似,3,4,1.8773466833541927,0.761904761904762,1.1154419214494307
飛,3,4,1.8773466833541927,0.761904761904762,1.1154419214494307
顏,3,4,1.8773466833541927,0.761904761904762,1.1154419214494307
披,3,4,1.8773466833541927,0.761904761904762,1.1154419214494307
塵,3,4,1.8773466833541927,0.761904761904762,1.1154419214494307
得,5,11,3.1289111389236544,2.0952380952380953,1.033673043685559
入,4,8,2.5031289111389237,1.523809523809524,0.9793193873293997
長,4,8,2.5031289111389237,1.523809523809524,0.9793193873293997
當,4,8,2.5031289111389237,1.523809523809524,0.9793193873293997
圖,7,18,4.380475594493117,3.4285714285714284,0.9519041659216883
際,3,5,1.8773466833541927,0.9523809523809523,0.9249657309732404
修,3,5,1.8773466833541927,0.9523809523809523,0.9249657309732404
擬,3,5,1.8773466833541927,0.9523809523809523,0.9249657309732404
最,3,5,1.8773466833541927,0.9523809523809523,0.9249657309732404
蒼,3,5,1.8773466833541927,0.9523809523809523,0.9249657309732404
草,3,5,1.8773466833541927,0.9523809523809523,0.9249657309732404
