token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
銀,13,0,7.951070336391437,0.0,7.951070336391437
斗,10,2,6.116207951070336,0.37133308577794283,5.7448748652923936
鳳,9,1,5.5045871559633035,0.18566654288897141,5.318920613074332
喉,8,0,4.892966360856269,0.0,4.892966360856269
龍,9,4,5.5045871559633035,0.7426661715558857,4.761920984407418
恩,9,4,5.5045871559633035,0.7426661715558857,4.761920984407418
六,8,1,4.892966360856269,0.18566654288897141,4.707299817967297
綸,8,2,4.892966360856269,0.37133308577794283,4.521633275078326
露,7,1,4.281345565749236,0.18566654288897141,4.095679022860264
禁,8,5,4.892966360856269,0.928332714444857,3.9646336464114116
頻,7,2,4.281345565749236,0.37133308577794283,3.910012479971293
光,7,3,4.281345565749236,0.5569996286669142,3.7243459370823215
色,7,4,4.281345565749236,0.7426661715558857,3.53867939419335
接,6,1,3.669724770642202,0.18566654288897141,3.4840582277532306
絲,6,1,3.669724770642202,0.18566654288897141,3.4840582277532306
辰,6,1,3.669724770642202,0.18566654288897141,3.4840582277532306
地,11,18,6.72782874617737,3.3419977720014855,3.3858309741758847
五,8,9,4.892966360856269,1.6709988860007428,3.221967474855526
北,7,6,4.281345565749236,1.1139992573338284,3.167346308415407
雨,6,3,3.669724770642202,0.5569996286669142,3.1127251419752877
仙,6,3,3.669724770642202,0.5569996286669142,3.1127251419752877
晨,6,3,3.669724770642202,0.5569996286669142,3.1127251419752877
舌,5,0,3.058103975535168,0.0,3.058103975535168
曾,7,7,4.281345565749236,1.2996658002227999,2.9816797655264358
星,6,4,3.669724770642202,0.7426661715558857,2.9270585990863163
香,6,4,3.669724770642202,0.7426661715558857,2.9270585990863163
漏,6,5,3.669724770642202,0.928332714444857,2.741392056197345
池,5,2,3.058103975535168,0.37133308577794283,2.6867708897572253
波,5,2,3.058103975535168,0.37133308577794283,2.6867708897572253
尺,5,2,3.058103975535168,0.37133308577794283,2.6867708897572253
夜,5,2,3.058103975535168,0.37133308577794283,2.6867708897572253
從,7,9,4.281345565749236,1.6709988860007428,2.610346679748493
職,5,4,3.058103975535168,0.7426661715558857,2.3154378039792824
南,5,4,3.058103975535168,0.7426661715558857,2.3154378039792824
淸,15,37,9.174311926605505,6.869662086891942,2.304649839713563
環,4,1,2.4464831804281344,0.18566654288897141,2.260816637539163
荷,4,1,2.4464831804281344,0.18566654288897141,2.260816637539163
燭,4,1,2.4464831804281344,0.18566654288897141,2.260816637539163
咫,4,1,2.4464831804281344,0.18566654288897141,2.260816637539163
將,5,5,3.058103975535168,0.928332714444857,2.129771261090311
切,5,5,3.058103975535168,0.928332714444857,2.129771261090311
勤,4,2,2.4464831804281344,0.37133308577794283,2.0751500946501915
近,4,2,2.4464831804281344,0.37133308577794283,2.0751500946501915
洲,4,2,2.4464831804281344,0.37133308577794283,2.0751500946501915
納,4,2,2.4464831804281344,0.37133308577794283,2.0751500946501915
早,4,2,2.4464831804281344,0.37133308577794283,2.0751500946501915
出,4,2,2.4464831804281344,0.37133308577794283,2.0751500946501915
書,6,9,3.669724770642202,1.6709988860007428,1.9987258846414593
司,6,9,3.669724770642202,1.6709988860007428,1.9987258846414593
眞,6,9,3.669724770642202,1.6709988860007428,1.9987258846414593
新,6,9,3.669724770642202,1.6709988860007428,1.9987258846414593
氣,5,6,3.058103975535168,1.1139992573338284,1.9441047182013398
同,11,26,6.72782874617737,4.827330115113257,1.9004986310641137
離,4,3,2.4464831804281344,0.5569996286669142,1.88948355176122
極,4,3,2.4464831804281344,0.5569996286669142,1.88948355176122
黃,4,3,2.4464831804281344,0.5569996286669142,1.88948355176122
佩,4,3,2.4464831804281344,0.5569996286669142,1.88948355176122
臺,14,36,8.562691131498472,6.683995544002971,1.8786955874955007
要,7,13,4.281345565749236,2.4136650575566283,1.8676805081926076
僚,4,4,2.4464831804281344,0.7426661715558857,1.7038170088722486
望,4,4,2.4464831804281344,0.7426661715558857,1.7038170088722486
親,4,4,2.4464831804281344,0.7426661715558857,1.7038170088722486
