token,count_a,count_b,log_odds,z
金,15,13,1.1960461084531682,3.591475951802319
郞,9,4,1.6973281137233105,3.32047270529735
虎,7,0,3.1431008234560585,2.9928323997225044
湖,7,0,3.1431008234560585,2.9928323997225044
簿,6,1,2.3271353591126225,2.9159500286019844
閣,6,0,3.1426105300090565,2.77039216900348
案,4,1,2.0870160525326087,2.3489715629148655
磨,4,1,2.0870160525326087,2.3489715629148655
蓮,4,2,1.609056050150838,2.164219711857116
法,5,4,1.2538453391281452,2.129923900498086
閑,6,6,1.081701640495342,2.1296527569968484
只,4,3,1.3030861150181021,1.9474301313421496
餘,4,3,1.3030861150181021,1.9474301313421496
頭,8,13,0.709112217349162,1.8152371241082885
盡,9,16,0.6416886601792111,1.7801639285457778
文,5,6,0.9402584867448116,1.76797706131387
酒,10,19,0.5922936177962601,1.7597170778553493
地,10,19,0.5922936177962601,1.7597170778553493
外,3,2,1.3927585599617176,1.7486593074314325
歡,3,2,1.3927585599617176,1.7486593074314325
屬,3,2,1.3927585599617176,1.7486593074314325
勞,3,2,1.3927585599617176,1.7486593074314325
治,3,2,1.3927585599617176,1.7486593074314325
力,3,2,1.3927585599617176,1.7486593074314325
宜,3,2,1.3927585599617176,1.7486593074314325
空,4,4,1.0809384285650925,1.7376273182033846
集,4,4,1.0809384285650925,1.7376273182033846
多,6,9,0.7692833488914976,1.6729244446472153
難,6,9,0.7692833488914976,1.6729244446472153
暇,5,7,0.8216708480557875,1.6041892942206262
筆,5,7,0.8216708480557875,1.6041892942206262
職,4,5,0.9084129468591096,1.5431332610627269
情,4,5,0.9084129468591096,1.5431332610627269
俊,3,3,1.0805572648649502,1.5042987624879773
下,3,3,1.0805572648649502,1.5042987624879773
議,3,3,1.0805572648649502,1.5042987624879773
投,3,3,1.0805572648649502,1.5042987624879773
江,3,3,1.0805572648649502,1.5042987624879773
然,4,6,0.7686286260664632,1.3647745654206815
明,8,18,0.4674427971873971,1.2932353873253488
勝,7,15,0.5027246906896536,1.2859760726407372
能,3,4,0.8584095488858257,1.2828719462710692
志,3,4,0.8584095488858257,1.2828719462710692
好,3,4,0.8584095488858257,1.2828719462710692
共,10,25,0.39213411554638977,1.243852011826836
思,4,7,0.652009968370515,1.2013350745721472
重,7,16,0.455789062119635,1.183990582386865
平,6,13,0.4943986621940608,1.1739512306602808
山,3,5,0.6884194303113667,1.0857330657912276
修,3,5,0.6884194303113667,1.0857330657912276
門,3,5,0.6884194303113667,1.0857330657912276
花,5,11,0.48302286490515645,1.050824171984276
知,7,18,0.37147720719612476,0.992536671981156
運,2,3,0.7679750709298849,0.9642207876243608
報,2,3,0.7679750709298849,0.9642207876243608
拚,2,3,0.7679750709298849,0.9642207876243608
設,2,3,0.7679750709298849,0.9642207876243608
耐,2,3,0.7679750709298849,0.9642207876243608
覺,2,3,0.7679750709298849,0.9642207876243608
經,2,3,0.7679750709298849,0.9642207876243608
昭,2,3,0.7679750709298849,0.9642207876243608
晩,2,3,0.7679750709298849,0.9642207876243608
惟,2,3,0.7679750709298849,0.9642207876243608
寀,2,3,0.7679750709298849,0.9642207876243608
若,2,3,0.7679750709298849,0.9642207876243608
使,2,3,0.7679750709298849,0.9642207876243608
邊,2,3,0.7679750709298849,0.9642207876243608
象,2,3,0.7679750709298849,0.9642207876243608
官,10,29,0.28791673083778324,0.9464766445377675
良,3,6,0.5523310177668517,0.9098613942812268
作,3,6,0.5523310177668517,0.9098613942812268
已,3,6,0.5523310177668517,0.9098613942812268
盟,3,6,0.5523310177668517,0.9098613942812268
契,9,26,0.29039410475463434,0.9047915906696382
杯,5,13,0.3632468927107464,0.8224384312329815
義,3,7,0.4399525720372335,0.7518628687794415
切,3,7,0.4399525720372335,0.7518628687794415
襟,2,4,0.5520586558995362,0.7425323841808487
遊,2,4,0.5520586558995362,0.7425323841808487
點,2,4,0.5520586558995362,0.7425323841808487
偶,2,4,0.5520586558995362,0.7425323841808487
近,2,4,0.5520586558995362,0.7425323841808487
休,2,4,0.5520586558995362,0.7425323841808487
故,2,4,0.5520586558995362,0.7425323841808487
識,2,4,0.5520586558995362,0.7425323841808487
洲,2,4,0.5520586558995362,0.7425323841808487
稀,2,4,0.5520586558995362,0.7425323841808487
馨,2,4,0.5520586558995362,0.7425323841808487
舊,5,14,0.3113343814270957,0.717582708305356
日,14,48,0.17489971034538598,0.7087046737771067
選,6,18,0.2639118103646414,0.677559645234544
自,6,18,0.2639118103646414,0.677559645234544
他,6,18,0.2639118103646414,0.677559645234544
書,4,11,0.3236908448465421,0.664405936528444
衣,4,11,0.3236908448465421,0.664405936528444
樽,4,11,0.3236908448465421,0.664405936528444
未,3,8,0.34502144046115735,0.6087848402956785
手,2,5,0.3903827043002748,0.5537830406829587
終,2,5,0.3903827043002748,0.5537830406829587
池,2,5,0.3903827043002748,0.5537830406829587
肯,2,5,0.3903827043002748,0.5537830406829587
見,2,5,0.3903827043002748,0.5537830406829587
初,2,5,0.3903827043002748,0.5537830406829587
敎,2,5,0.3903827043002748,0.5537830406829587
得,4,12,0.2635833347146699,0.5525365666258225
