token,count_a,count_b,log_odds,z
金,15,13,1.2112445031490005,3.6269081344858543
郞,9,4,1.71557447112796,3.344980327311959
虎,7,0,3.179491250259267,2.9936021662463963
湖,7,0,3.179491250259267,2.9936021662463963
簿,6,1,2.350669002699629,2.9299541830923865
閣,6,0,3.1790058370703314,2.7711139254447605
磨,4,1,2.1082613282277203,2.362609343427535
案,4,1,2.1082613282277203,2.362609343427535
蓮,4,2,1.626758627228222,2.181054273428907
閑,6,6,1.0963066505960661,2.152387845651432
法,5,4,1.2694210513124018,2.1502789967025864
只,4,3,1.3189477778273222,1.965501374563859
餘,4,3,1.3189477778273222,1.965501374563859
頭,8,13,0.7215867108861076,1.841655257273627
盡,9,16,0.6537546730694013,1.8080789083313937
地,10,19,0.6040533232212049,1.7890350585313741
酒,10,19,0.6040533232212049,1.7890350585313741
文,5,6,0.9540762763896815,1.788905909250567
力,3,2,1.4091455483243598,1.7640565589700254
治,3,2,1.4091455483243598,1.7640565589700254
外,3,2,1.4091455483243598,1.7640565589700254
屬,3,2,1.4091455483243598,1.7640565589700254
歡,3,2,1.4091455483243598,1.7640565589700254
勞,3,2,1.4091455483243598,1.7640565589700254
宜,3,2,1.4091455483243598,1.7640565589700254
空,4,4,1.0955484913766655,1.7562019614657092
集,4,4,1.0955484913766655,1.7562019614657092
難,6,9,0.7821186576780743,1.6958597237927908
多,6,9,0.7821186576780743,1.6958597237927908
暇,5,7,0.8348135455989736,1.6251487480788525
筆,5,7,0.8348135455989736,1.6251487480788525
情,4,5,0.9220548386918601,1.5618735417986747
職,4,5,0.9220548386918601,1.5618735417986747
投,3,3,1.0951698433862944,1.5203898477097693
江,3,3,1.0951698433862944,1.5203898477097693
下,3,3,1.0951698433862944,1.5203898477097693
俊,3,3,1.0951698433862944,1.5203898477097693
議,3,3,1.0951698433862944,1.5203898477097693
然,4,6,0.7814666331244791,1.3835093212776894
明,8,18,0.47840558092824104,1.3191531780002452
勝,7,15,0.513920528156091,1.3103155064892729
好,3,4,0.8717705286033111,1.2991160082900555
志,3,4,0.8717705286033111,1.2991160082900555
能,3,4,0.8717705286033111,1.2991160082900555
共,10,25,0.4025865027432989,1.2725612911329598
思,4,7,0.6641517044756187,1.2199740941474055
重,7,16,0.4666755345144358,1.2082035134567666
平,6,13,0.5055416288094792,1.1964674233350456
修,3,5,0.7007844837615789,1.1019114647988173
門,3,5,0.7007844837615789,1.1019114647988173
山,3,5,0.7007844837615789,1.1019114647988173
花,5,11,0.4940924883255562,1.0713547505586551
知,7,18,0.381787332176474,1.016489403340608
若,2,3,0.7808157494338239,0.9774740059844973
象,2,3,0.7808157494338239,0.9774740059844973
昭,2,3,0.7808157494338239,0.9774740059844973
拚,2,3,0.7808157494338239,0.9774740059844973
覺,2,3,0.7808157494338239,0.9774740059844973
運,2,3,0.7808157494338239,0.9774740059844973
經,2,3,0.7808157494338239,0.9774740059844973
使,2,3,0.7808157494338239,0.9774740059844973
設,2,3,0.7808157494338239,0.9774740059844973
惟,2,3,0.7808157494338239,0.9774740059844973
寀,2,3,0.7808157494338239,0.9774740059844973
晩,2,3,0.7808157494338239,0.9774740059844973
報,2,3,0.7808157494338239,0.9774740059844973
耐,2,3,0.7808157494338239,0.9774740059844973
邊,2,3,0.7808157494338239,0.9774740059844973
官,10,29,0.2976281270154013,0.9747640356225913
契,9,26,0.3001230499276941,0.9316343025937076
已,3,6,0.5638534408856755,0.9258810994036081
作,3,6,0.5638534408856755,0.9258810994036081
良,3,6,0.5638534408856755,0.9258810994036081
盟,3,6,0.5638534408856755,0.9258810994036081
杯,5,13,0.37349965172302824,0.8426578297992622
義,3,7,0.45073677952575597,0.7676870747166659
切,3,7,0.45073677952575597,0.7676870747166659
稀,2,4,0.5635812335582662,0.7556137937752849
襟,2,4,0.5635812335582662,0.7556137937752849
點,2,4,0.5635812335582662,0.7556137937752849
休,2,4,0.5635812335582662,0.7556137937752849
識,2,4,0.5635812335582662,0.7556137937752849
馨,2,4,0.5635812335582662,0.7556137937752849
故,2,4,0.5635812335582662,0.7556137937752849
近,2,4,0.5635812335582662,0.7556137937752849
偶,2,4,0.5635812335582662,0.7556137937752849
遊,2,4,0.5635812335582662,0.7556137937752849
洲,2,4,0.5635812335582662,0.7556137937752849
日,14,48,0.18375873788181885,0.7416086069755294
舊,5,14,0.32121460213660136,0.7376464395010495
他,6,18,0.27344170647671096,0.6993757756799625
自,6,18,0.27344170647671096,0.6993757756799625
選,6,18,0.27344170647671096,0.6993757756799625
衣,4,11,0.33366061819721704,0.6823841959263338
樽,4,11,0.33366061819721704,0.6823841959263338
書,4,11,0.33366061819721704,0.6823841959263338
未,3,8,0.3551448135156292,0.6244038786550368
得,4,12,0.27310882760605804,0.570342766977027
見,2,5,0.4008270054349863,0.5666194395214977
肯,2,5,0.4008270054349863,0.5666194395214977
終,2,5,0.4008270054349863,0.5666194395214977
手,2,5,0.4008270054349863,0.5666194395214977
初,2,5,0.4008270054349863,0.5666194395214977
敎,2,5,0.4008270054349863,0.5666194395214977
池,2,5,0.4008270054349863,0.5666194395214977
看,5,16,0.2291116022153563,0.5433567939340344
天,6,20,0.20166321764421635,0.5291421947479743
十,3,9,0.27294269379594027,0.49363086354863756
論,3,9,0.27294269379594027,0.49363086354863756
嚴,3,9,0.27294269379594027,0.49363086354863756
處,3,9,0.27294269379594027,0.49363086354863756
石,3,9,0.27294269379594027,0.49363086354863756
期,3,9,0.27294269379594027,0.49363086354863756
當,3,9,0.27294269379594027,0.49363086354863756
交,3,9,0.27294269379594027,0.49363086354863756
聖,3,9,0.27294269379594027,0.49363086354863756
入,3,9,0.27294269379594027,0.49363086354863756
玉,4,13,0.218464234640817,0.46515786091463035
爲,5,17,0.18825562273093244,0.4531119497142476
月,2,6,0.27277676323436406,0.40280288665780584
大,2,6,0.27277676323436406,0.40280288665780584
堪,2,6,0.27277676323436406,0.40280288665780584
際,2,6,0.27277676323436406,0.40280288665780584
欲,2,6,0.27277676323436406,0.40280288665780584
豈,2,6,0.27277676323436406,0.40280288665780584
樂,2,6,0.27277676323436406,0.40280288665780584
取,2,6,0.27277676323436406,0.40280288665780584
衆,2,6,0.27277676323436406,0.40280288665780584
望,2,6,0.27277676323436406,0.40280288665780584
膽,2,6,0.27277676323436406,0.40280288665780584
分,7,26,0.13000208343984365,0.37838364139091074
方,3,10,0.20127076396755506,0.37343188704825014
禁,3,10,0.20127076396755506,0.37343188704825014
立,3,10,0.20127076396755506,0.37343188704825014
還,3,10,0.20127076396755506,0.37343188704825014
來,4,14,0.16883065449500023,0.36605130700767785
白,7,27,0.10545851544501961,0.3098435847766406
曾,3,11,0.13807195337844824,0.26224690826023966
成,3,11,0.13807195337844824,0.26224690826023966
妨,2,7,0.16860501153412422,0.258491424100837
虛,2,7,0.16860501153412422,0.258491424100837
參,2,7,0.16860501153412422,0.258491424100837
向,2,7,0.16860501153412422,0.258491424100837
盛,2,7,0.16860501153412422,0.258491424100837
詩,2,7,0.16860501153412422,0.258491424100837
秋,2,7,0.16860501153412422,0.258491424100837
年,5,20,0.0819386123038841,0.2053246453126491
高,5,20,0.0819386123038841,0.2053246453126491
