token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
金,15,13,12.057877813504822,2.3197715917201998,9.738106221784623
郞,9,4,7.234726688102894,0.7137758743754461,6.520950813727448
湖,7,0,5.627009646302251,0.0,5.627009646302251
虎,7,0,5.627009646302251,0.0,5.627009646302251
閣,6,0,4.82315112540193,0.0,4.82315112540193
地,10,19,8.038585209003214,3.390435403283369,4.648149805719845
酒,10,19,8.038585209003214,3.390435403283369,4.648149805719845
簿,6,1,4.82315112540193,0.17844396859386152,4.644707156808068
盡,9,16,7.234726688102894,2.8551034975017844,4.37962319060111
頭,8,13,6.430868167202572,2.3197715917201998,4.111096575482373
閑,6,6,4.82315112540193,1.0706638115631693,3.7524873138387607
共,10,25,8.038585209003214,4.461099214846539,3.5774859941566755
法,5,4,4.019292604501607,0.7137758743754461,3.305516730126161
明,8,18,6.430868167202572,3.2119914346895073,3.2188767325130647
難,6,9,4.82315112540193,1.6059957173447537,3.2171554080571765
多,6,9,4.82315112540193,1.6059957173447537,3.2171554080571765
磨,4,1,3.215434083601286,0.17844396859386152,3.0369901150074243
案,4,1,3.215434083601286,0.17844396859386152,3.0369901150074243
勝,7,15,5.627009646302251,2.6766595289079227,2.9503501173943283
文,5,6,4.019292604501607,1.0706638115631693,2.948628792938438
官,10,29,8.038585209003214,5.174875089221985,2.8637101197812296
蓮,4,2,3.215434083601286,0.35688793718772305,2.858546146413563
重,7,16,5.627009646302251,2.8551034975017844,2.7719061488004666
筆,5,7,4.019292604501607,1.2491077801570307,2.770184824344576
暇,5,7,4.019292604501607,1.2491077801570307,2.770184824344576
日,14,48,11.254019292604502,8.565310492505354,2.688708800099148
只,4,3,3.215434083601286,0.5353319057815846,2.6801021778197014
餘,4,3,3.215434083601286,0.5353319057815846,2.6801021778197014
契,9,26,7.234726688102894,4.6395431834403995,2.5951835046624945
平,6,13,4.82315112540193,2.3197715917201998,2.50337953368173
集,4,4,3.215434083601286,0.7137758743754461,2.50165820922584
空,4,4,3.215434083601286,0.7137758743754461,2.50165820922584
知,7,18,5.627009646302251,3.2119914346895073,2.4150182116127437
情,4,5,3.215434083601286,0.8922198429693076,2.3232142406319785
職,4,5,3.215434083601286,0.8922198429693076,2.3232142406319785
然,4,6,3.215434083601286,1.0706638115631693,2.1447702720381168
花,5,11,4.019292604501607,1.9628836545324768,2.0564089499691303
力,3,2,2.411575562700965,0.35688793718772305,2.054687625513242
屬,3,2,2.411575562700965,0.35688793718772305,2.054687625513242
歡,3,2,2.411575562700965,0.35688793718772305,2.054687625513242
治,3,2,2.411575562700965,0.35688793718772305,2.054687625513242
宜,3,2,2.411575562700965,0.35688793718772305,2.054687625513242
外,3,2,2.411575562700965,0.35688793718772305,2.054687625513242
勞,3,2,2.411575562700965,0.35688793718772305,2.054687625513242
思,4,7,3.215434083601286,1.2491077801570307,1.9663263034442553
議,3,3,2.411575562700965,0.5353319057815846,1.8762436569193803
俊,3,3,2.411575562700965,0.5353319057815846,1.8762436569193803
投,3,3,2.411575562700965,0.5353319057815846,1.8762436569193803
下,3,3,2.411575562700965,0.5353319057815846,1.8762436569193803
江,3,3,2.411575562700965,0.5353319057815846,1.8762436569193803
杯,5,13,4.019292604501607,2.3197715917201998,1.6995210127814073
志,3,4,2.411575562700965,0.7137758743754461,1.6977996883255189
好,3,4,2.411575562700965,0.7137758743754461,1.6977996883255189
能,3,4,2.411575562700965,0.7137758743754461,1.6977996883255189
他,6,18,4.82315112540193,3.2119914346895073,1.6111596907124226
選,6,18,4.82315112540193,3.2119914346895073,1.6111596907124226
自,6,18,4.82315112540193,3.2119914346895073,1.6111596907124226
舊,5,14,4.019292604501607,2.4982155603140614,1.5210770441875456
門,3,5,2.411575562700965,0.8922198429693076,1.5193557197316574
山,3,5,2.411575562700965,0.8922198429693076,1.5193557197316574
修,3,5,2.411575562700965,0.8922198429693076,1.5193557197316574
良,3,6,2.411575562700965,1.0706638115631693,1.3409117511377957
作,3,6,2.411575562700965,1.0706638115631693,1.3409117511377957
盟,3,6,2.411575562700965,1.0706638115631693,1.3409117511377957
已,3,6,2.411575562700965,1.0706638115631693,1.3409117511377957
天,6,20,4.82315112540193,3.5688793718772303,1.2542717535246997
樽,4,11,3.215434083601286,1.9628836545324768,1.2525504290688092
衣,4,11,3.215434083601286,1.9628836545324768,1.2525504290688092
書,4,11,3.215434083601286,1.9628836545324768,1.2525504290688092
看,5,16,4.019292604501607,2.8551034975017844,1.1641891069998227
義,3,7,2.411575562700965,1.2491077801570307,1.1624677825439342
切,3,7,2.411575562700965,1.2491077801570307,1.1624677825439342
得,4,12,3.215434083601286,2.1413276231263385,1.0741064604749475
惟,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
邊,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
報,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
若,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
經,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
運,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
覺,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
拚,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
晩,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
使,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
耐,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
昭,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
設,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
寀,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
象,2,3,1.607717041800643,0.5353319057815846,1.0723851360190584
分,7,26,5.627009646302251,4.6395431834403995,0.9874664628618515
爲,5,17,4.019292604501607,3.033547466095646,0.985745138405961
未,3,8,2.411575562700965,1.4275517487508922,0.9840238139500728
玉,4,13,3.215434083601286,2.3197715917201998,0.8956624918810863
襟,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
近,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
點,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
稀,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
遊,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
故,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
洲,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
識,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
馨,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
偶,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
休,2,4,1.607717041800643,0.7137758743754461,0.8939411674251969
白,7,27,5.627009646302251,4.817987152034261,0.8090224942679898
石,3,9,2.411575562700965,1.6059957173447537,0.8055798453562113
交,3,9,2.411575562700965,1.6059957173447537,0.8055798453562113
聖,3,9,2.411575562700965,1.6059957173447537,0.8055798453562113
論,3,9,2.411575562700965,1.6059957173447537,0.8055798453562113
期,3,9,2.411575562700965,1.6059957173447537,0.8055798453562113
處,3,9,2.411575562700965,1.6059957173447537,0.8055798453562113
當,3,9,2.411575562700965,1.6059957173447537,0.8055798453562113
嚴,3,9,2.411575562700965,1.6059957173447537,0.8055798453562113
入,3,9,2.411575562700965,1.6059957173447537,0.8055798453562113
來,4,14,3.215434083601286,2.4982155603140614,0.7172185232872246
初,2,5,1.607717041800643,0.8922198429693076,0.7154971988313354
敎,2,5,1.607717041800643,0.8922198429693076,0.7154971988313354
