token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
金,15,13,11.876484560570072,2.2577283779089963,9.618756182661075
郞,9,4,7.125890736342043,0.6946856547412296,6.4312050816008135
湖,7,0,5.542359461599366,0.0,5.542359461599366
虎,7,0,5.542359461599366,0.0,5.542359461599366
閣,6,0,4.750593824228028,0.0,4.750593824228028
酒,10,19,7.91765637371338,3.2997568600208407,4.61789951369254
地,10,19,7.91765637371338,3.2997568600208407,4.61789951369254
簿,6,1,4.750593824228028,0.1736714136853074,4.576922410542721
盡,9,16,7.125890736342043,2.7787426189649183,4.347148117377126
頭,8,13,6.334125098970705,2.2577283779089963,4.076396721061709
閑,6,6,4.750593824228028,1.0420284821118444,3.708565342116184
共,10,25,7.91765637371338,4.341785342132685,3.5758710315806956
法,5,4,3.95882818685669,0.6946856547412296,3.2641425321154607
明,8,18,6.334125098970705,3.126085446335533,3.2080396526351715
多,6,9,4.750593824228028,1.5630427231677666,3.1875511010602615
難,6,9,4.750593824228028,1.5630427231677666,3.1875511010602615
案,4,1,3.1670625494853524,0.1736714136853074,2.993391135800045
磨,4,1,3.1670625494853524,0.1736714136853074,2.993391135800045
勝,7,15,5.542359461599366,2.6050712052796112,2.937288256319755
文,5,6,3.95882818685669,1.0420284821118444,2.9167997047448457
官,10,29,7.91765637371338,5.0364709968739145,2.8811853768394657
蓮,4,2,3.1670625494853524,0.3473428273706148,2.8197197221147374
重,7,16,5.542359461599366,2.7787426189649183,2.763616842634448
日,14,48,11.084718923198732,8.336227856894755,2.748491066303977
暇,5,7,3.95882818685669,1.2156998957971517,2.7431282910595387
筆,5,7,3.95882818685669,1.2156998957971517,2.7431282910595387
餘,4,3,3.1670625494853524,0.5210142410559222,2.64604830842943
只,4,3,3.1670625494853524,0.5210142410559222,2.64604830842943
契,9,26,7.125890736342043,4.5154567558179926,2.610433980524051
平,6,13,4.750593824228028,2.2577283779089963,2.492865446319032
集,4,4,3.1670625494853524,0.6946856547412296,2.472376894744123
空,4,4,3.1670625494853524,0.6946856547412296,2.472376894744123
知,7,18,5.542359461599366,3.126085446335533,2.416274015263833
情,4,5,3.1670625494853524,0.8683570684265369,2.2987054810588154
職,4,5,3.1670625494853524,0.8683570684265369,2.2987054810588154
然,4,6,3.1670625494853524,1.0420284821118444,2.125034067373508
花,5,11,3.95882818685669,1.9103855505383813,2.048442636318309
宜,3,2,2.375296912114014,0.3473428273706148,2.027954084743399
歡,3,2,2.375296912114014,0.3473428273706148,2.027954084743399
治,3,2,2.375296912114014,0.3473428273706148,2.027954084743399
屬,3,2,2.375296912114014,0.3473428273706148,2.027954084743399
力,3,2,2.375296912114014,0.3473428273706148,2.027954084743399
外,3,2,2.375296912114014,0.3473428273706148,2.027954084743399
勞,3,2,2.375296912114014,0.3473428273706148,2.027954084743399
思,4,7,3.1670625494853524,1.2156998957971517,1.9513626536882007
投,3,3,2.375296912114014,0.5210142410559222,1.854282671058092
下,3,3,2.375296912114014,0.5210142410559222,1.854282671058092
議,3,3,2.375296912114014,0.5210142410559222,1.854282671058092
江,3,3,2.375296912114014,0.5210142410559222,1.854282671058092
俊,3,3,2.375296912114014,0.5210142410559222,1.854282671058092
杯,5,13,3.95882818685669,2.2577283779089963,1.7010998089476939
好,3,4,2.375296912114014,0.6946856547412296,1.6806112573727847
能,3,4,2.375296912114014,0.6946856547412296,1.6806112573727847
志,3,4,2.375296912114014,0.6946856547412296,1.6806112573727847
他,6,18,4.750593824228028,3.126085446335533,1.6245083778924951
