token,count_a,count_b,log_odds,z
老,27,17,1.318897439024255,4.433641917184281
遊,26,22,1.044677820493483,3.7414589661899855
海,19,13,1.2412602826163992,3.584922022809541
壽,11,3,2.0725713503484826,3.406194583881062
齒,11,1,2.953659973725488,3.353049143359172
異,18,15,1.0582035739870301,3.1406147996040557
洛,9,2,2.2489966667212453,3.1176219721056597
仙,25,27,0.8174581709925626,3.054465382934176
差,8,2,2.1478187857308777,2.9224979180897757
同,58,94,0.4421222131604772,2.756846842723224
樹,10,7,1.219316025185238,2.571335097640888
山,33,47,0.560676067154092,2.5655156504583116
影,7,3,1.6693461275930854,2.540708407825122
俗,9,6,1.264386451847706,2.494751055802211
雪,11,9,1.0746655683908788,2.4811231280462063
伯,11,9,1.0746655683908788,2.4811231280462063
竹,11,9,1.0746655683908788,2.4811231280462063
如,27,38,0.5713705926748203,2.3587121744036934
盛,17,20,0.7372789879493933,2.318679150973507
秋,17,20,0.7372789879493933,2.318679150973507
帶,11,10,0.9767170411486878,2.318452189395568
林,9,7,1.121526345334412,2.310262634856214
滿,10,9,0.9859837917118588,2.2257262134824742
年,48,83,0.3817035416562673,2.1941783496224203
終,14,16,0.7640334566403553,2.1656225853009663
俱,11,11,0.8880479370726571,2.15970138243489
似,15,18,0.7187301908588966,2.133100595974139
兄,7,5,1.2003306625087857,2.129892498251609
髮,7,5,1.2003306625087857,2.129892498251609
說,7,5,1.2003306625087857,2.129892498251609
節,13,15,0.7550641834932152,2.067038940120196
幸,10,10,0.887971812848126,2.059017956191976
呼,6,4,1.2641113748554496,2.036512551955619
仲,8,7,1.0120156894356818,2.0283488173483613
三,28,44,0.46925513218309156,2.019967115959118
作,25,38,0.49990972090983554,2.0191156565474055
夢,10,11,0.7993027083022071,1.8973203455871213
去,11,13,0.7326553445769788,1.855424711406218
飮,11,13,0.7326553445769788,1.855424711406218
月,19,28,0.5282564885549883,1.8477475052221792
鄕,8,8,0.8878196060830454,1.841325971982985
橫,8,8,0.8878196060830454,1.841325971982985
扶,6,5,1.0571961328277801,1.811508546712761
含,6,5,1.0571961328277801,1.811508546712761
川,6,5,1.0571961328277801,1.811508546712761
弟,6,5,1.0571961328277801,1.811508546712761
生,30,51,0.396646279229925,1.796339543193808
歌,9,10,0.7898837231861124,1.7830566010077342
友,9,10,0.7898837231861124,1.7830566010077342
香,14,19,0.6043593407355994,1.7821487601770825
少,14,19,0.6043593407355994,1.7821487601770825
士,15,21,0.5755780037526526,1.768974610089968
堪,15,21,0.5755780037526526,1.768974610089968
曾,17,25,0.5300966511751675,1.7530875216362085
松,10,12,0.7183962946091356,1.7408602263234387
管,7,7,0.88774352353445,1.722255128186078
賓,7,7,0.88774352353445,1.722255128186078
主,7,7,0.88774352353445,1.722255128186078
鴻,7,7,0.88774352353445,1.722255128186078
綃,7,7,0.88774352353445,1.722255128186078
逢,11,14,0.6637919744951972,1.7101213984265713
芳,15,22,0.532461762093897,1.6531333458553754
中,35,64,0.32960464848838633,1.6361184895236227
欲,9,11,0.7012780693220968,1.619068562503517
携,6,6,0.8876674548697867,1.5943617857739867
入,20,33,0.42376667793100076,1.557430278118624
樂,18,29,0.4457065008578134,1.5463450792962086
路,15,23,0.4913096673773705,1.5399502582923403
或,7,8,0.7635474397123341,1.530352308266572
必,8,10,0.6803357266698118,1.4885887920641434
