집단,종류,순위,노드1,노드2,가중치(NPMI),근거량(count),score
개인,TOP_NODE,1,事,,3.9050044494824525,,
개인,TOP_NODE,2,一,,3.2289812933540043,,
개인,TOP_NODE,3,人,,3.085191042225831,,
개인,TOP_NODE,4,同,,2.988949548718898,,
개인,TOP_NODE,5,傳,,2.369692133266778,,
개인,TOP_NODE,6,年,,2.3281781868824707,,
개인,TOP_NODE,7,風,,2.3053367174895265,,
개인,TOP_NODE,8,遊,,2.264859753598296,,
개인,TOP_NODE,9,日,,2.083687976388202,,
개인,TOP_NODE,10,畫,,1.964428413295112,,
개인,TOP_NODE,11,作,,1.883406125264971,,
개인,TOP_NODE,12,老,,1.8753060969006616,,
개인,TOP_NODE,13,會,,1.8716909023377142,,
개인,TOP_NODE,14,心,,1.8436188486044456,,
개인,TOP_NODE,15,十,,1.598004042743927,,
개인,TOP_NODE,16,仙,,1.5191434677743891,,
개인,TOP_NODE,17,勝,,1.518638015856772,,
개인,TOP_NODE,18,蘭,,1.4856544233487885,,
개인,TOP_NODE,19,時,,1.321210781906448,,
개인,TOP_NODE,20,相,,1.2991204707769342,,
개인,TOP_EDGE,1,風,流,0.4216384231427983,16,1.1945916068149975
개인,TOP_EDGE,2,畫,圖,0.4587215500196891,10,1.0999662363229539
개인,TOP_EDGE,3,金,蘭,0.4265436845202945,9,0.9821531294871854
개인,TOP_EDGE,4,傳,畫,0.387310375974229,9,0.891815098080179
개인,TOP_EDGE,5,契,蘭,0.40705419404242466,7,0.8464454008068225
개인,TOP_EDGE,6,事,傳,0.3242785597847456,11,0.8058019495927901
개인,TOP_EDGE,7,金,契,0.3416137720256062,6,0.6647497060416951
개인,TOP_EDGE,8,心,歲,0.34422819028773965,5,0.6167741195232943
개인,TOP_EDGE,9,傳,後,0.3113239473090297,6,0.6058084287126024
개인,TOP_EDGE,10,今,十,0.35809718867349355,4,0.5763351917871876
개인,TOP_EDGE,11,事,相,0.26167968688358517,8,0.5749690394102597
개인,TOP_EDGE,12,白,遊,0.2991051340678477,5,0.5359244562607931
개인,TOP_EDGE,13,同,年,0.2273410461055954,9,0.5234721037884161
개인,TOP_EDGE,14,雲,靑,0.2918628389351265,5,0.5229480053777955
개인,TOP_EDGE,15,名,十,0.322701901348032,4,0.5193686744440916
개인,TOP_EDGE,16,仙,玉,0.3206776871952459,4,0.516110827443712
개인,TOP_EDGE,17,春,秋,0.3184430218311912,4,0.512514272285199
개인,TOP_EDGE,18,事,畫,0.2633745117305842,6,0.5125031353790314
개인,TOP_EDGE,19,年,十,0.2858951584420609,5,0.5122553573450178
개인,TOP_EDGE,20,會,勝,0.2836472835172325,5,0.5082277061628161
관청,TOP_NODE,1,契,,3.198376951813958,,
관청,TOP_NODE,2,畫,,2.942532554971382,,
관청,TOP_NODE,3,日,,2.820163137763652,,
관청,TOP_NODE,4,事,,2.722796739596121,,
관청,TOP_NODE,5,官,,2.7119716920615637,,
관청,TOP_NODE,6,流,,2.644359257935122,,
관청,TOP_NODE,7,風,,2.549252440191249,,
관청,TOP_NODE,8,時,,2.417067389268728,,
관청,TOP_NODE,9,名,,2.342669799593891,,
관청,TOP_NODE,10,一,,2.0991306490588344,,
관청,TOP_NODE,11,選,,2.083417068705939,,
관청,TOP_NODE,12,年,,2.061737776163652,,
관청,TOP_NODE,13,圖,,1.9734548685275373,,
관청,TOP_NODE,14,勝,,1.941575294031066,,
관청,TOP_NODE,15,蘭,,1.8386013113128605,,
관청,TOP_NODE,16,會,,1.7055769457713754,,
관청,TOP_NODE,17,他,,1.690837911477783,,
관청,TOP_NODE,18,傳,,1.6878564505479825,,
관청,TOP_NODE,19,心,,1.6757733120553542,,
관청,TOP_NODE,20,靑,,1.6270851382626035,,
관청,TOP_EDGE,1,風,流,0.4363211072586027,43,1.651121811147742
관청,TOP_EDGE,2,畫,圖,0.4467861152436159,38,1.6368284758297713
관청,TOP_EDGE,3,金,蘭,0.45288255518497517,27,1.509097292967045
관청,TOP_EDGE,4,年,他,0.4340421961323131,29,1.476263181016115
관청,TOP_EDGE,5,契,蘭,0.4327579396053356,28,1.457224005426585
관청,TOP_EDGE,6,酒,杯,0.38254880023462323,17,1.1057082482152165
관청,TOP_EDGE,7,臺,霜,0.38724105714432205,15,1.073660187826558
관청,TOP_EDGE,8,會,高,0.34690428639429005,15,0.9618229121534477
관청,TOP_EDGE,9,選,郞,0.345454969635236,13,0.911675469667886
관청,TOP_EDGE,10,契,金,0.3146719857602714,16,0.8915328690566685
관청,TOP_EDGE,11,時,他,0.2877021169858576,20,0.8759155505439726
관청,TOP_EDGE,12,官,郞,0.29647420895622645,15,0.8220010481869938
관청,TOP_EDGE,13,地,禁,0.31789819793411594,10,0.7622865860573373
관청,TOP_EDGE,14,日,今,0.2686286278418546,14,0.7274598096489451
관청,TOP_EDGE,15,雲,靑,0.29130329895694207,11,0.7238615046832872
관청,TOP_EDGE,16,時,淸,0.22832969861516508,21,0.7057767917819848
관청,TOP_EDGE,17,畫,傳,0.2672072030236654,13,0.7051751276655966
관청,TOP_EDGE,18,時,一,0.21114827644784814,26,0.6959102737100915
관청,TOP_EDGE,19,勝,江,0.3013053511248282,9,0.6937812099393662
관청,TOP_EDGE,20,畫,看,0.2764360366495271,11,0.6869177457114493
사헌부,TOP_NODE,1,名,,3.7036030016010764,,
사헌부,TOP_NODE,2,行,,3.3727727388643176,,
사헌부,TOP_NODE,3,乘,,3.3371646221378803,,
사헌부,TOP_NODE,4,契,,3.2535881274465686,,
사헌부,TOP_NODE,5,須,,2.804207263606695,,
사헌부,TOP_NODE,6,御,,2.7902424555279053,,
사헌부,TOP_NODE,7,蘭,,2.740577205798367,,
사헌부,TOP_NODE,8,流,,2.5953896933946665,,
사헌부,TOP_NODE,9,避,,2.5783916460367973,,
사헌부,TOP_NODE,10,史,,2.5758345835669214,,
사헌부,TOP_NODE,11,傳,,2.543804327290674,,
사헌부,TOP_NODE,12,題,,2.5420986591830994,,
사헌부,TOP_NODE,13,官,,2.504327262421825,,
사헌부,TOP_NODE,14,霜,,2.4812480466071167,,
사헌부,TOP_NODE,15,畫,,2.296520204685238,,
사헌부,TOP_NODE,16,心,,2.278013894745841,,
사헌부,TOP_NODE,17,威,,2.242982883162243,,
사헌부,TOP_NODE,18,臺,,2.220115018986512,,
사헌부,TOP_NODE,19,後,,2.1889720184792094,,
사헌부,TOP_NODE,20,他,,2.1807109987031787,,
사헌부,TOP_EDGE,1,御,史,0.604280938682862,10,1.449002406309797
사헌부,TOP_EDGE,2,行,避,0.5417598056894407,8,1.1903679600737338
사헌부,TOP_EDGE,3,驄,馬,0.4373222754126228,12,1.121709489323224
사헌부,TOP_EDGE,4,蘭,金,0.5075947535864006,7,1.0555136169463013
사헌부,TOP_EDGE,5,霜,威,0.4094895094559268,9,0.9428844402106615
사헌부,TOP_EDGE,6,驄,乘,0.40722248423840673,9,0.9376644217393582
사헌부,TOP_EDGE,7,鐵,面,0.44384792005026297,7,0.9229558031407074
사헌부,TOP_EDGE,8,蘭,契,0.42866796461979406,7,0.8913899732177418
사헌부,TOP_EDGE,9,鐵,肝,0.45708334669298667,6,0.8894431232940511
사헌부,TOP_EDGE,10,風,流,0.42028703636815234,7,0.8739623228534399
사헌부,TOP_EDGE,11,寒,歲,0.4672510076187603,5,0.8372014174072638
사헌부,TOP_EDGE,12,臺,霜,0.30660410063450433,14,0.8302992963820317
사헌부,TOP_EDGE,13,十,四,0.5053731318533192,4,0.8133666783302894
사헌부,TOP_EDGE,14,馬,行,0.4011143999751078,6,0.7805325818437945
사헌부,TOP_EDGE,15,舊,栢,0.472521274952393,4,0.7604936543400789
