office,token,제목,문인,문체,snippet
사헌부,驄,驄馬契軸 公時爲司憲府監察。監察同僚共二十五員。凡持平以上大司憲以下。員有未備。或未及入侍。則托以暫退。點茶以療飢。故監察以茶時二字入啓。其僚員之位高仕久者。稱曰房主。幷以先至者爲先生。分管八道利害勤慢。以資持平以上論啓。,1401-1481 정극인(丁克仁),7언,蓋一與。斷金終利。矧我同驄。共綴班鵷。道存擊目。忠
사헌부,驄,驄馬契圖,1424-1483 강희맹(姜希孟),7언,此盟如天工。看圖彷彿舊乘驄。揩眼起我衰病翁。
사헌부,驄,題驄馬契軸,1438-1504 홍귀달(洪貴達),5언,精神元會合。臭味復馨香。驄馬雙飜玉。飛騰道路長。
사헌부,霜,驄馬契軸 公時爲司憲府監察。監察同僚共二十五員。凡持平以上大司憲以下。員有未備。或未及入侍。則托以暫退。點茶以療飢。故監察以茶時二字入啓。其僚員之位高仕久者。稱曰房主。幷以先至者爲先生。分管八道利害勤慢。以資持平以上論啓。,1401-1481 정극인(丁克仁),7언,。忠在披肝。繩墨是飭。氷霜是勵。歲寒宜保。雲飜可慮
사헌부,霜,題騘馬契軸 三首,1420-1488 서거정(徐居正),7언,戴獬冠。共避乘騘桓御史。霜威澟澟照人寒。 法星昨夜
사헌부,霜,驄馬契圖,1424-1483 강희맹(姜希孟),7언,金蘭結契會諸公。酒暈細逐霜華紅。翻覆莫與浮雲同。所
사헌부,臺,題𩣭馬契軸 二首,1420-1488 서거정(徐居正),7언,一時二十四臺官。氷雪容顏鐵石肝。爲報
사헌부,臺,題騘馬契軸 三首,1420-1488 서거정(徐居正),7언,烏臺諸彥鐵爲肝。鶚立朝端戴獬
사헌부,臺,書𩣭馬契軸,1431-1492 김종직(金宗直),7언,南臺深處老風霜。二十餘人若鴈
사헌부,鐵,題𩣭馬契軸 二首,1420-1488 서거정(徐居正),7언,一時二十四臺官。氷雪容顏鐵石肝。爲報朝臣須早避。乘
사헌부,鐵,題騘馬契軸 三首,1420-1488 서거정(徐居正),7언,烏臺諸彥鐵爲肝。鶚立朝端戴獬冠。共
사헌부,鐵,書驄馬契軸,1431-1492 김종직(金宗直),7언,鐵面乘𩣭孰繼聲。吾儕正値運
사헌부,烏,題騘馬契軸 三首,1420-1488 서거정(徐居正),7언,烏臺諸彥鐵爲肝。鶚立朝端戴
사헌부,烏,題驄馬契軸,1438-1504 홍귀달(洪貴達),5언,烏臺揷晴昊。陞降整冠裳。凜
사헌부,烏,書驄馬契軸,1463-1519 신용개(申用漑),5언,烏府是高選。登臺要振綱。寧
사헌부,柏,驄馬契圖,1424-1483 강희맹(姜希孟),7언,華山積翠凌蒼空。柏府萬古生淸風。二十四箇員
사헌부,柏,題驄馬契圖,1433-1480 최숙정(崔淑精),7언,風嚴北闕椒猶辣。霜重南臺柏亦寒。世路波瀾閒起伏。要
사헌부,柏,題驄馬契軸,1463-1519 신용개(申用漑),5언,乘驄摠俊良。秋淸橫義鶻。柏老帶嚴霜。肝膽明相照。聲
사헌부,寒,驄馬契軸 公時爲司憲府監察。監察同僚共二十五員。凡持平以上大司憲以下。員有未備。或未及入侍。則托以暫退。點茶以療飢。故監察以茶時二字入啓。其僚員之位高仕久者。稱曰房主。幷以先至者爲先生。分管八道利害勤慢。以資持平以上論啓。,1401-1481 정극인(丁克仁),7언,。繩墨是飭。氷霜是勵。歲寒宜保。雲飜可慮。肆托金蘭
사헌부,寒,題騘馬契軸 三首,1420-1488 서거정(徐居正),7언,乘騘桓御史。霜威澟澟照人寒。 法星昨夜照霜臺。卄四
사헌부,寒,題𩣭馬契軸,1431-1492 김종직(金宗直),7언,松栢風霜老。須信肝膓鐵石寒。公事有嚴三尺法。交情無
사헌부,乘,題𩣭馬契軸 二首,1420-1488 서거정(徐居正),7언,鐵石肝。爲報朝臣須早避。乘𩣭御史後身桓。 諸君談笑
사헌부,乘,題騘馬契軸 三首,1420-1488 서거정(徐居正),7언,肝。鶚立朝端戴獬冠。共避乘騘桓御史。霜威澟澟照人寒
사헌부,乘,驄馬契圖,1424-1483 강희맹(姜希孟),7언,渝此盟如天工。看圖彷彿舊乘驄。揩眼起我衰病翁。
사헌부,班,驄馬契軸 公時爲司憲府監察。監察同僚共二十五員。凡持平以上大司憲以下。員有未備。或未及入侍。則托以暫退。點茶以療飢。故監察以茶時二字入啓。其僚員之位高仕久者。稱曰房主。幷以先至者爲先生。分管八道利害勤慢。以資持平以上論啓。,1401-1481 정극인(丁克仁),7언,斷金終利。矧我同驄。共綴班鵷。道存擊目。忠在披肝。
사헌부,班,𩣭馬契軸詩卷 監察班。有上臺，回臺，復臺之語。,1431-1492 김종직(金宗直),7언,天街西畔栢陰陰。日趁淸班義分深。侃侃何曾嫌物論。
사헌부,班,書驄馬契軸,1431-1492 김종직(金宗直),7언,孰繼聲。吾儕正値運休明。班心白簡曾相屬。臺上淸樽亦
사헌부,蘭,驄馬契軸 公時爲司憲府監察。監察同僚共二十五員。凡持平以上大司憲以下。員有未備。或未及入侍。則托以暫退。點茶以療飢。故監察以茶時二字入啓。其僚員之位高仕久者。稱曰房主。幷以先至者爲先生。分管八道利害勤慢。以資持平以上論啓。,1401-1481 정극인(丁克仁),7언,如砥。傳心杯面酒如泉。芝蘭之臭有誰知。金石之通有誰
사헌부,蘭,題騘馬契軸 三首,1420-1488 서거정(徐居正),7언,。高謌起舞醉扶回。 再長蘭臺憶去年。臺監一一緫名賢
사헌부,蘭,驄馬契圖,1424-1483 강희맹(姜希孟),7언,膽融。各懷氷檗相磨礲。金蘭結契會諸公。酒暈細逐霜華
사헌부,栢,題𩣭馬契軸 二首,1420-1488 서거정(徐居正),7언,君談笑氣如雷。呼鬼聲高動栢臺。自哂舊時老憲長。披圖
사헌부,栢,書𩣭馬契軸,1431-1492 김종직(金宗直),7언,餘人若鴈行。挺直應須參古栢。斥邪終不媿神羊。從知義
사헌부,栢,𩣭馬契軸詩卷 監察班。有上臺，回臺，復臺之語。,1431-1492 김종직(金宗直),7언,天街西畔栢陰陰。日趁淸班義分深。侃
사헌부,馬,驄馬契軸 公時爲司憲府監察。監察同僚共二十五員。凡持平以上大司憲以下。員有未備。或未及入侍。則托以暫退。點茶以療飢。故監察以茶時二字入啓。其僚員之位高仕久者。稱曰房主。幷以先至者爲先生。分管八道利害勤慢。以資持平以上論啓。,1401-1481 정극인(丁克仁),7언,師。凡居官府常周旋。分司馬頭道如砥。傳心杯面酒如泉
사헌부,馬,題驄馬契軸,1438-1504 홍귀달(洪貴達),5언,神元會合。臭味復馨香。驄馬雙飜玉。飛騰道路長。
사헌부,馬,驄馬契會圖,1478-1534 이행(李荇),5언,操。人稱御史才。行行避驄馬。濟濟上烏臺。作契勤圖繪
사간원,諫,題薇垣讌會圖 四首,1420-1488 서거정(徐居正),7언,聖主虗襟言路開。諫官要必得人才。諸君盡是舊
사간원,諫,書諫院契飮圖。公叔請賦。,1431-1492 김종직(金宗直),7언,隙。千載其嚴某也回。焚却諫書機事少。紫薇花下且銜杯
사간원,諫,題諫院燕會圖,1438-1504 홍귀달(洪貴達),7언,龍山勝事誰聯芳。聖朝無事諫臣閒。煙霞古洞山花黃。轟
사간원,薇,題薇垣讌會圖 四首,1420-1488 서거정(徐居正),7언,埤竹共淸暉。紅藥翻階對紫薇。當日大夫今白首。披圖一
사간원,薇,書諫院契飮圖。公叔請賦。,1431-1492 김종직(金宗直),7언,也回。焚却諫書機事少。紫薇花下且銜杯。
사간원,薇,諫院契軸,1438-1504 홍귀달(洪貴達),7언,退食從容藥階晚。銜杯爛熳薇垣春。諫員還復諫無事。未
사간원,垣,題薇垣讌會圖 四首,1420-1488 서거정(徐居正),7언,披圖一見思依依。 往事薇垣三十年。春風醉倒夢依然。
사간원,垣,諫院契軸,1438-1504 홍귀달(洪貴達),7언,食從容藥階晚。銜杯爛熳薇垣春。諫員還復諫無事。未害
사간원,垣,題司諫院契軸,1438-1504 홍귀달(洪貴達),7언,畫堂周以紫薇垣。其中列坐群仙尊。一人位
사간원,言,題薇垣讌會圖 四首,1420-1488 서거정(徐居正),7언,聖主虗襟言路開。諫官要必得人才。諸
사간원,言,題諫院燕會圖,1438-1504 홍귀달(洪貴達),7언,。有懷必達稱獻納。遇事敢言則正言。中間古貌誰氏子。
사간원,言,題司諫院契軸,1438-1504 홍귀달(洪貴達),7언,識朝家久治安。一時名士盡言官。如君極口敢言少。自古
사간원,鵝,題諫院燕會圖,1438-1504 홍귀달(洪貴達),7언,。 靑山日暮不歸去。更用鵝卵傾深罇。相携一笑入醉鄕
사간원,鵝,題司諫院契軸,1438-1504 홍귀달(洪貴達),7언,食從容白日晚。一笑樽前喚鵝卵。君不見古人詩句今猶傳
사간원,鵝,薇垣契會圖,1478-1534 이행(李荇),5언,薇垣會。非才愧濫居。共傾鵝卵酒。同草皁囊書。盡己言
사간원,正,題諫院燕會圖,1438-1504 홍귀달(洪貴達),7언,懷必達稱獻納。遇事敢言則正言。中間古貌誰氏子。半白
사간원,正,題司諫院契軸,1438-1504 홍귀달(洪貴達),7언,莫優劣。忠肝義膽相照耀。正論高談雜歡笑。平明珂馬去
사간원,正,司諫院契會圖,1478-1534 이행(李荇),5언,深杯日共傾。非關自取重。正是士林榮。
사간원,疏,司諫院稧會圖,1469-1517 이우(李堣),7언,爭拭目榮。犯顏心鯁直。草疏筆風生。高會時方勝。淸談
사간원,疏,薇垣契會圖,1478-1534 이행(李荇),5언,書。盡己言無隱。忘形禮自疏。平生唯徇國。衆口更須渠
사간원,疏,司諫院契會圖,1478-1534 이행(李荇),5언,爭拭目榮。犯顏心鯁直。草疏筆風生。高會時方勝。淸談
사간원,忠,題司諫院契軸,1438-1504 홍귀달(洪貴達),7언,是三傑。一一孤高莫優劣。忠肝義膽相照耀。正論高談雜
사간원,忠,司諫院稧會圖,1469-1517 이우(李堣),7언,恢言路。薇垣選國英。身應忠自許。官以諫爲名。上有虛
사간원,忠,司諫院契會圖,1478-1534 이행(李荇),5언,恢言路。薇垣選國英。身應忠自許。官以諫爲名。上有虛
사간원,卵,題諫院燕會圖,1438-1504 홍귀달(洪貴達),7언, 靑山日暮不歸去。更用鵝卵傾深罇。相携一笑入醉鄕。
사간원,卵,題司諫院契軸,1438-1504 홍귀달(洪貴達),7언,從容白日晚。一笑樽前喚鵝卵。君不見古人詩句今猶傳。
사간원,卵,薇垣契會圖,1478-1534 이행(李荇),5언,垣會。非才愧濫居。共傾鵝卵酒。同草皁囊書。盡己言無
사간원,憂,題薇垣契會圖,1487-1540 심언광(沈彦光),5언,匹庶。完節畀忠純。漆室猶憂魯。茅焦亦諫秦。揮戈回日
사간원,憂,題薇垣契會圖,1487-1540 심언광(沈彦光),5언 7언,膽。一一血數斗。恤緯誰無憂。捧夫須有手。仗節立宇宙
사간원,憂,題薇垣契會圖,1491-1570 정사룡(鄭士龍),7언,不愆評點裏。向來迂叟莫深憂。
사간원,亭,司諫院契軸,1478-1543 김안국(金安國),5언,春盎談諧席。霜凝諍列章。亭尊時共對。白日照鵝觴。
사간원,亭,題薇垣契軸,1486-1562 소세양(蘇世讓),7언,冕旒。諫院封章新事業。茅亭高會舊風流。不愁狡兔藏三
사간원,亭,題薇垣契會圖,1487-1540 심언광(沈彦光),5언,事時相醉。含杯意轉親。閒亭花下酌。勝迹畫中人。愧我
사간원,口,諫院契軸,1438-1504 홍귀달(洪貴達),7언,。聖主虛心樂聞道。藎臣極口寧顧身。退食從容藥階晚。
사간원,口,題司諫院契軸,1438-1504 홍귀달(洪貴達),7언,。一時名士盡言官。如君極口敢言少。自古虛懷納諫難。
사간원,口,薇垣契會圖,1478-1534 이행(李荇),5언,形禮自疏。平生唯徇國。衆口更須渠。
승정원,銀,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,銀臺諸內相。鳳沼一時春。霄
승정원,銀,題承旨契軸,1476-1549 홍언필(洪彦弼),7언,來群彥一時登。中宵畫敎燒銀燭。五夜顚衣對玉繩。職事
승정원,銀,題銀臺契軸,1478-1534 이행(李荇),5언,內相名方重。銀臺職更親。今時喉舌地。他
승정원,喉,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,武上星辰。雞舌天香動。龍喉地位親。嘉猷資黼黻。大手
승정원,喉,題承旨契軸,1476-1549 홍언필(洪彦弼),7언,喉舌難人自古稱。邇來群彥一
승정원,喉,題銀臺契軸,1478-1534 이행(李荇),5언,名方重。銀臺職更親。今時喉舌地。他日股肱臣。交道曾
승정원,鳳,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,銀臺諸內相。鳳沼一時春。霄漢高飛隼。朝
승정원,鳳,題銀臺契軸,1481-1537 김안로(金安老),7언,命。出允惟多酌帝言。波闊鳳池恩共沐。畫圖秪爲徵離合
승정원,鳳,銀臺契軸,1481-1537 김안로(金安老),7언,舌得。四時調亦斗魁斟。池鳳昔曾看薦鶚。臺銀行且作橫
승정원,斗,銀臺契會圖,1478-1534 이행(李荇),5언,身致靑霄上。官居北斗傍。風雲乘際會。雨露荷恩
승정원,斗,書銀臺諸公契會江亭圖,1481-1537 김안로(金安老),7언,斯最選。眞從平地上蒼蒼。斗杓旋斡斟元氣。日表雍容對
승정원,斗,銀臺契軸,1481-1537 김안로(金安老),7언,五味和因喉舌得。四時調亦斗魁斟。池鳳昔曾看薦鶚。臺
승정원,六,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,僚佐皆豪傑。才名已選掄。六符曾協瑞。雙璧更同茵。出
승정원,六,銀臺契會圖,1478-1534 이행(李荇),7언,風流圖繪誠非偶。走卒爭知六侍臣。
승정원,六,題銀臺契軸,1483-1555 신광한(申光漢),7언,燭花摧。閶闔初開佩響來。六坐數從南斗設。七魁提向北
승정원,露,銀臺契會圖,1478-1534 이행(李荇),5언,居北斗傍。風雲乘際會。雨露荷恩光。妥帖文書少。委蛇
승정원,露,銀臺契會圖,1478-1534 이행(李荇),7언,高紫極星辰上。身沐淸都雨露新。報效有期忘夙夜。追攀
승정원,露,書承政院契軸,1478-1543 김안국(金安國),7언,。銀臺淸切邇宸居。霑濡雨露涵新澤。攀挈星辰躡太虛。
승정원,綸,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,親。嘉猷資黼黻。大手演絲綸。咫尺瞻顏近。尋常注意頻
승정원,綸,題銀臺契軸,1478-1534 이행(李荇),5언,鱗。聯英乘際會。協力盡經綸。天眷勤前席。仙蹤絶後塵
승정원,綸,銀臺契會圖,1478-1534 이행(李荇),7언,今時職最親。銀臺密勿掌絲綸。名高紫極星辰上。身沐淸
승정원,舌,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,身依日月。接武上星辰。雞舌天香動。龍喉地位親。嘉猷
승정원,舌,題承旨契軸,1476-1549 홍언필(洪彦弼),7언,喉舌難人自古稱。邇來群彥一時
승정원,舌,題銀臺契軸,1478-1534 이행(李荇),5언,方重。銀臺職更親。今時喉舌地。他日股肱臣。交道曾投
승정원,龍,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,接武上星辰。雞舌天香動。龍喉地位親。嘉猷資黼黻。大
승정원,龍,題銀臺契軸,1481-1537 김안로(金安老),7언,顏咫尺接溫溫。逆敷元不孤龍命。出允惟多酌帝言。波闊
승정원,龍,題銀臺契軸,1483-1555 신광한(申光漢),7언,南斗設。七魁提向北辰回。龍光共荷三時接。鳳製頻將五
승정원,恩,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,晉接當淸晝。宣招趁早晨。恩光蓮燭動。寵渥獸袍新。玉
승정원,恩,題銀臺契軸,1478-1534 이행(李荇),5언,他日股肱臣。交道曾投漆。恩波許批鱗。聯英乘際會。協
승정원,恩,銀臺契會圖,1478-1534 이행(李荇),5언,斗傍。風雲乘際會。雨露荷恩光。妥帖文書少。委蛇日月
승정원,辰,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,麟。將身依日月。接武上星辰。雞舌天香動。龍喉地位親
승정원,辰,銀臺契會圖,1478-1534 이행(李荇),7언,臺密勿掌絲綸。名高紫極星辰上。身沐淸都雨露新。報效
승정원,辰,書承政院契軸,1478-1543 김안국(金安國),7언,。霑濡雨露涵新澤。攀挈星辰躡太虛。斟氣肯孤喉舌地。
승정원,接,題銀臺宴會圖,1420-1488 서거정(徐居正),5언,朝廷獨角麟。將身依日月。接武上星辰。雞舌天香動。龍
승정원,接,題銀臺契軸,1481-1537 김안로(金安老),7언,地在咽要望最尊。威顏咫尺接溫溫。逆敷元不孤龍命。出
승정원,接,題銀臺契軸,1483-1555 신광한(申光漢),7언,提向北辰回。龍光共荷三時接。鳳製頻將五色裁。同盡乃
의금부,吾,題金吾諸彥讌會圖,1420-1488 서거정(徐居正),5언,地以金吾切。天曾玉汝成。朝廷方籲
의금부,吾,題義禁府郞契會圖,1438-1504 홍귀달(洪貴達),5언,五載坐金吾。諸郞堪玉汝。襟期謝崖岸
의금부,吾,題義禁府郞廳契軸,1438-1504 홍귀달(洪貴達),5언,金吾郞官十。一時賢能集。蓋其
의금부,虎,題義禁府郞契會圖,1438-1504 홍귀달(洪貴達),5언,爲肯齟齬。 豹尾扈法駕。虎頭詰囚侶。聖朝理無爲。自
의금부,虎,題義禁府郞廳契軸,1438-1504 홍귀달(洪貴達),5언,共食飮。蚤夜齊出入。淑問虎頭閣。相對案牘立。力癉不
의금부,虎,題金吾郞契軸,1438-1504 홍귀달(洪貴達),6언,僚佐才優。豹尾旗間扈駕。虎頭閣下論囚。賢能自有朝議
의금부,湖,題金吾契軸,1476-1549 홍언필(洪彦弼),7언,。要與平生盡切磋。半日江湖拚勝集。千年金石認難磨。
의금부,湖,題金吾契軸,1476-1549 홍언필(洪彦弼),7언,。要與平生盡切磋。半日江湖拚勝集。千年金石認難磨。
의금부,湖,題金吾契軸,1491-1570 정사룡(鄭士龍),7언,西湖高會復高秋。疊五衣冠摠勝
의금부,閣,題義禁府郞廳契軸,1438-1504 홍귀달(洪貴達),5언,飮。蚤夜齊出入。淑問虎頭閣。相對案牘立。力癉不辭勞
의금부,閣,題金吾郞契軸,1438-1504 홍귀달(洪貴達),6언,才優。豹尾旗間扈駕。虎頭閣下論囚。賢能自有朝議。利
의금부,閣,題金吾郞廳契軸,1438-1504 홍귀달(洪貴達),5언,峨峨虎頭閣。諸郞走其下。一一賢與能
의금부,金,題金吾諸彥讌會圖,1420-1488 서거정(徐居正),5언,地以金吾切。天曾玉汝成。朝廷方
의금부,金,題義禁府郞契會圖,1438-1504 홍귀달(洪貴達),5언,五載坐金吾。諸郞堪玉汝。襟期謝崖
의금부,金,題義禁府郞廳契軸,1438-1504 홍귀달(洪貴達),5언,金吾郞官十。一時賢能集。蓋
의금부,郞,題義禁府郞契會圖,1438-1504 홍귀달(洪貴達),5언,五載坐金吾。諸郞堪玉汝。襟期謝崖岸。作爲
의금부,郞,題義禁府郞廳契軸,1438-1504 홍귀달(洪貴達),5언,金吾郞官十。一時賢能集。蓋其氣
의금부,郞,題金吾郞廳契軸,1438-1504 홍귀달(洪貴達),5언,峨峨虎頭閣。諸郞走其下。一一賢與能。誰眞
의금부,簿,題金吾諸彥讌會圖,1420-1488 서거정(徐居正),5언,朝廷方籲俊。豪傑共蜚英。簿領多閑暇。杯樽樂大平。仍
의금부,簿,題金吾郞廳契軸,1438-1504 홍귀달(洪貴達),5언,賢與能。誰眞復誰假。手下簿書空。庭宇絶瀟灑。却喚無
의금부,簿,金吾郞官契會圖,1478-1534 이행(李荇),5언,餘地。論交有古風。時從文簿暇。更與酒杯同。勝處眞難
의금부,刑,金吾契會圖,1478-1534 이행(李荇),5언,欲識漢刑措。須看周圄空。郞官亦何
의금부,刑,金吾契會圖,1478-1534 이행(李荇),5언,祥刑行且措。淑問在惟良。永日
의금부,刑,金吾契會圖,1483-1555 신광한(申光漢),5언,治道淸刑貴。民情協化難。玄文成執
의금부,牘,題義禁府郞廳契軸,1438-1504 홍귀달(洪貴達),5언,出入。淑問虎頭閣。相對案牘立。力癉不辭勞。自然聲名
