bigram,count,per1k,logodds_z,npmi,z_x_npmi,expected_count
一時,27,1.289090475053712,3.3819841088016465,0.45616357859094075,1.5427379738086526,1.2948868789925176
風流,59,2.816901408450704,3.362930403550963,0.8152076605307784,2.741486626806607,0.4908707288665471
畫圖,36,1.718787300071616,2.6820799302074274,0.7420369900626939,1.9902025185186794,0.3190293375659467
他年,33,1.575555025065648,2.548710811704003,0.7367083131739727,1.8776564428587228,0.28375435447245156
他時,18,0.859393650035808,2.4447927836632295,0.5255410254470579,1.284838906531941,0.4396990420689443
金蘭,34,1.623299116734304,2.3779859791056763,0.7869039116151182,1.8712464687241634,0.21649254309933685
暇日,27,1.289090475053712,2.355084444359979,0.7038194254077655,1.6575541804162073,0.24926670112237267
淸時,12,0.5729291000238721,2.342588762247818,0.3664055091310058,0.8583374281159843,0.7769562171937338
他日,15,0.71616137502984,2.3337054570934863,0.48245105229920787,1.1258986535311564,0.4548603311408256
百年,31,1.480066841728336,2.2241657115577684,0.7876213146122079,1.7518003216525262,0.18270500210587517
白日,11,0.5251850083552161,2.204670020724644,0.3825673773281903,0.8434348277027139,0.610613081154805
靑雲,15,0.71616137502984,2.067437751667612,0.560329246559917,1.158445837701442,0.25880039214127515
高會,16,0.763905466698496,2.042891795984387,0.5907872389100568,1.206914403541623,0.2300219177331877
圖畫,12,0.5729291000238721,2.03609288506345,0.4856555161033836,0.9888397409299171,0.3190293375659467
蘭契,15,0.71616137502984,2.033612566832986,0.5700013666689633,1.1591619423699806,0.24129639659473007
今日,10,0.47744091668656,2.0045524502654337,0.4210542284467363,0.844025285327527,0.398789341135793
題名,26,1.2413463833850562,1.9869856357983913,0.7816235538154437,1.5530747740329776,0.13888301176386286
勝事,9,0.429696825017904,1.9798130022662896,0.38053115559744755,0.7533805296192433,0.4700444628616303
明時,9,0.429696825017904,1.9693438418950475,0.38565546166462294,0.7594882085224167,0.451743941180544
風霜,11,0.5251850083552161,1.957512538451205,0.47771602483100223,0.9351351084257541,0.29767620734689765
盛事,15,0.71616137502984,1.9322072324839932,0.5991193192322459,1.157622681741432,0.1954425971296364
一幅,17,0.811649558367152,1.9266667703857816,0.6449817563649768,1.2426649174934588,0.17228163441006797
畫中,9,0.429696825017904,1.916835570137879,0.4093311301958562,0.7846204703241564,0.37599208085233166
風雲,8,0.381952733349248,1.9118246398181378,0.3490663550584104,0.6673536585321757,0.5117566230848875
白頭,18,0.859393650035808,1.9044468529737957,0.6714076560380036,1.2786601976040886,0.15703639118694832
日月,10,0.47744091668656,1.8968759642047508,0.46142727014529,0.875270297967213,0.29287747112628687
郞官,13,0.6206731916925281,1.8800953146996848,0.5638014939492392,1.0600005471946472,0.2017824705081398
繪事,13,0.6206731916925281,1.8658530557544064,0.5681315822107309,1.060050048738478,0.1954425971296364
今時,8,0.381952733349248,1.847054839366759,0.3850707664260527,0.7112468226259075,0.3854969960667461
托契,21,1.0026259250417762,1.8442257814148832,0.7431238251175393,1.3704881170654108,0.1238386058566033
分明,11,0.5251850083552161,1.8410925391281097,0.5162337961672953,0.9504341905693886,0.2225452517485159
時淸,7,0.334208641680592,1.8397688639593832,0.2743876124783772,0.5048097860938715,0.7769562171937338
同心,7,0.334208641680592,1.8220334341405429,0.3154754149367743,0.5748067536641636,0.5592224609168702
勝日,7,0.334208641680592,1.8210557772911138,0.3165271958109791,0.5764136786013391,0.5545420911497725
勝會,9,0.429696825017904,1.8083503012925422,0.45235517592243346,0.8180166186705734,0.2693625956772929
春風,7,0.334208641680592,1.7915313076525923,0.3414345091569869,0.6116906126677377,0.4543204139844512
丹靑,19,0.907137741704464,1.7648388146681806,0.7305754807474275,1.289347965467926,0.11357009352103095
官曹,13,0.6206731916925281,1.746884845535822,0.6045756422827266,1.0561240274837813,0.14932951876637182
畫傳,7,0.334208641680592,1.7445647315868837,0.3702316479644121,0.6458930755560043,0.36080201597596234
流傳,8,0.381952733349248,1.7386846926336872,0.4327082770728403,0.7523432577224437,0.26497146724396703
人間,11,0.5251850083552161,1.7316847607112213,0.5518101476427579,0.955561223478773,0.17012908557124803
後人,7,0.334208641680592,1.7276967362972198,0.3791860994284013,0.655118586431722,0.335853393484794
樂事,8,0.381952733349248,1.7180747790305095,0.44099782605131255,0.7576672425460439,0.2482506482319429
歲寒,28,1.336834566722368,1.7061168390902894,0.8891261651772357,1.516953122484656,0.0778142281690288
當時,7,0.334208641680592,1.7054596615065032,0.3903316813936497,0.665694937224878,0.30720515184134844
淸風,6,0.28646455001193605,1.7032548767845446,0.2678018783164599,0.45613485525457154,0.6736223032770262
杯酒,11,0.5251850083552161,1.7024313293842166,0.5613377371779233,0.95563895013734,0.1583120196333273
十年,9,0.429696825017904,1.6998684658536736,0.49190228581523526,0.8361691839386592,0.19825105631611772
交情,15,0.71616137502984,1.69632539499395,0.6691922280149651,1.1351677705143672,0.11766219091390337
繪畫,12,0.5729291000238721,1.6888175845778546,0.5954916180186115,1.0056767159785498,0.14054607526860713
同時,6,0.28646455001193605,1.675644155936968,0.23019535460524534,0.38572550066811734,0.9154725569771294
樽酒,13,0.6206731916925281,1.6558476185384214,0.6331742358004713,1.0484400504700953,0.12089961724770186
作畫,7,0.334208641680592,1.637160895302846,0.4215503944863856,0.6901458212525989,0.23928149696500772
圖傳,7,0.334208641680592,1.6341382421130126,0.4228586945080594,0.6910095637056036,0.23678601173455668
靑春,7,0.334208641680592,1.6253884583012805,0.4266255813515914,0.6934322959449507,0.22975433241722634
天地,6,0.28646455001193605,1.6130419812821903,0.36509457231816794,0.5889128722874716,0.30460969293963464
白雲,6,0.28646455001193605,1.5984927910460645,0.37326552567503823,0.5966622519375683,0.2849682781009592
日日,6,0.28646455001193605,1.5776415691108774,0.18641831063808095,0.294101276106061,1.308385401217433
白首,16,0.763905466698496,1.5725629982871399,0.7305996320871101,1.148913947982387,0.08434781907671487
一笑,7,0.334208641680592,1.570832102353712,0.44945352960230656,0.7060160328154875,0.19141695107908702
金石,12,0.5729291000238721,1.5706745628431178,0.6340303670776328,0.9958553696389224,0.1054123012775484
一一,6,0.28646455001193605,1.558511358723003,0.18064954425751736,0.28154436667347466,1.3714281456685937
同僚,8,0.381952733349248,1.5576241209916684,0.5022020227108799,0.7822419841852721,0.153367921101385
契事,5,0.23872045834328,1.5549068221190177,0.26115174015089637,0.40606662236888175,0.565098954845782
天上,6,0.28646455001193605,1.5484733267553423,0.3989578851888782,0.6177756437136982,0.23109166568147663
一世,5,0.23872045834328,1.5348107513339757,0.3098839130763925,0.4756131614550904,0.3763916788796043
須知,6,0.28646455001193605,1.5340541094160272,0.40588665167515076,0.6226520859593766,0.21839115287999386
古事,5,0.23872045834328,1.5311055465031054,0.31375496534057634,0.480391967675846,0.36442836065701734
人事,5,0.23872045834328,1.5268244510953561,0.22307074776246705,0.3405898720078594,0.776331159255008
傳心,5,0.23872045834328,1.5259315221238967,0.318758623648011,0.48640383177332774,0.3495278337721982
人知,5,0.23872045834328,1.525712906810979,0.3189623636331421,0.48664499498202174,0.3489368914779686
一心,5,0.23872045834328,1.523695658303795,0.2208281854955459,0.33647494747066836,0.7909902067083499
同事,5,0.23872045834328,1.5211040588972533,0.21906030861197473,0.3332135245729597,0.8027351848061612
酒杯,7,0.334208641680592,1.5120542995849486,0.4731663345522847,0.7154531905786323,0.1583120196333273
丹心,7,0.334208641680592,1.5118870382703238,0.4732366119575903,0.7154802996536437,0.15822747216653238
當年,6,0.28646455001193605,1.5086420301915155,0.41775150734329536,0.6302374821539549,0.19825105631611772
聖朝,10,0.47744091668656,1.5031972649027703,0.5966272613821013,0.8968484674760049,0.10416515197787932
一醉,5,0.23872045834328,1.4962771060563758,0.34236207805838625,0.5122685393806492,0.2870935344241822
應須,6,0.28646455001193605,1.4948838668113336,0.4240187943689326,0.6338588549269096,0.18836612248779375
契深,6,0.28646455001193605,1.4887386073051285,0.426791964962431,0.6353816755271887,0.1841547686680738
淸遊,6,0.28646455001193605,1.4881282562177232,0.4270688047019979,0.6355331556261714,0.1837430076718938
雲雨,8,0.381952733349248,1.488049178426826,0.5281318715170804,0.7858861975120135,0.1250534194584456
公事,5,0.23872045834328,1.4850326644327443,0.34999872977027946,0.5197595462188341,0.26937386867286556
從容,14,0.668417283361184,1.4829037483921443,0.7154380471859072,1.0609257619143375,0.07478950546221953
千年,6,0.28646455001193605,1.4806935299190835,0.4303998959986931,0.6372903412831114,0.17881848855331456
事少,6,0.28646455001193605,1.473676147654815,0.43353153786692344,0.6388850866105953,0.1743193766887138
三生,6,0.28646455001193605,1.4716660033936089,0.4344111566163567,0.6393081306871887,0.17305620786902046
傳勝,5,0.23872045834328,1.471658888029144,0.3585231984918759,0.5276238516252062,0.25087873948926187
湖山,12,0.5729291000238721,1.466231507142484,0.6697822670690934,0.9820558629020266,0.08072473763122041
寒心,6,0.28646455001193605,1.4655227937534854,0.4371315041466449,0.6406261831946544,0.16926403148993616
好事,5,0.23872045834328,1.4609767100004243,0.3650059098157742,0.5332651332533613,0.2376890380114816
得人,5,0.23872045834328,1.4553249412202114,0.36832974883156605,0.536039470067954,0.2311854095393965
霜臺,8,0.381952733349248,1.4546705510334703,0.5406377209125549,0.7864497713893458,0.113330394036223
靑眼,10,0.47744091668656,1.426893331971951,0.6239578651416041,0.8903213172020088,0.0845240337969821
入畫,5,0.23872045834328,1.4256452919633333,0.38492431915667163,0.5487655433679004,0.20130633477408438
交契,5,0.23872045834328,1.4169660055639541,0.38955483145034125,0.5519859534683295,0.1936783733225165
地禁,7,0.334208641680592,1.4144919872285688,0.5118324279935924,0.7239828682006799,0.1161806819694344
傳神,7,0.334208641680592,1.4128799497882658,0.5124723346955294,0.724061886512495,0.11558855304409198
功名,9,0.429696825017904,1.397813562235691,0.6004459697422044,0.8393115198954147,0.08548016181620989
故事,8,0.381952733349248,1.3959129060935498,0.5629482433348895,0.7858267183338644,0.09510730003525406
多暇,9,0.429696825017904,1.3929713391380816,0.6022500802973674,0.838917100847841,0.08428374099661771
風生,4,0.190976366674624,1.3915502018854329,0.2621164731714088,0.36474823115917154,0.42299157265694054
同朝,4,0.190976366674624,1.3911625136017396,0.2669326848375135,0.3713467448010162,0.40589963476435365
淸班,6,0.28646455001193605,1.3910488185545038,0.46933956866627974,0.6528742524941088,0.13016245971508242
事傳,4,0.190976366674624,1.3870074028924484,0.24217952379735386,0.33590479233589765,0.5017292935230142
官淸,4,0.190976366674624,1.3846311474915776,0.2378813459260552,0.3293779209764347,0.5205350234004223
名流,4,0.190976366674624,1.3825979747172774,0.2894593153278099,0.4002058631352797,0.33469346157192387
平生,5,0.23872045834328,1.3699393830841906,0.4134869179003006,0.5664520132217212,0.1586368599004866
爲名,4,0.190976366674624,1.369310938821656,0.30684099873668175,0.42016073604910026,0.2884109916172913
淸選,4,0.190976366674624,1.3658299841442265,0.31053920232950294,0.42414375379386576,0.27942255759477125
論心,5,0.23872045834328,1.3635620379047755,0.4166226530741041,0.5680908338630197,0.15454861905873113
圖看,5,0.23872045834328,1.3595597053473798,0.4185723050131419,0.5690740396702408,0.152050463908276
心事,4,0.190976366674624,1.3571600420559702,0.21106969694567415,0.286455358783532,0.654872641719703
地分,4,0.190976366674624,1.3562147114257854,0.31978715322737006,0.4337000417319311,0.2581477450291743
勝流,4,0.190976366674624,1.3510109536238386,0.3243586238478992,0.43821205372086625,0.24823818860525743
時方,4,0.190976366674624,1.350315011277841,0.3249603859752832,0.4387988872530661,0.24698065628335025
圖中,4,0.190976366674624,1.3501892008951824,0.32505864141269175,0.4388906672930759,0.24675489971411912
修契,8,0.381952733349248,1.3494529995198734,0.5808931100484555,0.7838879497553162,0.08256965235401827
深情,6,0.28646455001193605,1.3473876268566802,0.4878912458280299,0.6573786278803784,0.11187647426512921
分曹,6,0.28646455001193605,1.3419865544114724,0.49018867427668655,0.6578266100040981,0.10980402302643076
官事,4,0.190976366674624,1.3393617312224841,0.20028265649404092,0.26825092553569674,0.7182423030424708
時名,4,0.190976366674624,1.3380034529431233,0.19955171850263018,0.26700088839725333,0.7227541711915356
同遊,4,0.190976366674624,1.330720214268887,0.3403394545391836,0.4528965918685385,0.21650084951712717
論交,8,0.381952733349248,1.3228317739882844,0.5913606644572481,0.7822706768308721,0.07603428149966282
異日,4,0.190976366674624,1.3223331556355957,0.3463495293612001,0.45798946611309915,0.20565593111845842
難人,4,0.190976366674624,1.3218142328155649,0.3467039350367783,0.4582781959047766,0.20501841355304717
明朝,4,0.190976366674624,1.3178739253459881,0.34942277463369836,0.46049516361179865,0.2002929518036588
共作,4,0.190976366674624,1.3176475400448504,0.3495785806347579,0.4606213568257591,0.20002744309214496
作契,4,0.190976366674624,1.3176475400448504,0.3495785806347579,0.4606213568257591,0.20002744309214496
少年,5,0.23872045834328,1.3170068834673418,0.4389537617315492,0.5781051257243338,0.12829381237002638
異時,4,0.190976366674624,1.3165948477518914,0.3503084366385398,0.46121428280232135,0.19880105983695182
同氣,4,0.190976366674624,1.3123185897997691,0.35318498293103817,0.46349121873851556,0.19395337508293353
開筵,8,0.381952733349248,1.312315397582794,0.5955451696958054,0.7815430961478633,0.07357231859815143
簿書,14,0.668417283361184,1.3117742157558103,0.7789493514927577,1.0218056746679092,0.04701462431787624
一代,5,0.23872045834328,1.3026116894265527,0.44574349816099496,0.5806306911903951,0.12125412329268392
一年,4,0.190976366674624,1.3008270800641242,0.18260304243140255,0.23753498249686675,0.8356392789360609
大平,7,0.334208641680592,1.2995440746768288,0.557978800198459,0.7251180435931935,0.08030734013725409
作金,4,0.190976366674624,1.2983714245132831,0.36224657917087755,0.4703306070231561,0.17946579582540734
萬古,7,0.334208641680592,1.2978515110553126,0.558673307325468,0.7250749960986278,0.07986265012769084
後來,4,0.190976366674624,1.2845854563510837,0.3707967332458348,0.47632009079009174,0.16679583877508206
高選,4,0.190976366674624,1.282065442696533,0.3723232462309054,0.477342767505236,0.1646299403362419
托金,5,0.23872045834328,1.2801562744117652,0.4561949248255849,0.584000795370276,0.11110872393507602
襟期,14,0.668417283361184,1.2762653440007017,0.793418958638998,1.0126131201840793,0.04229806230183461
人物,6,0.28646455001193605,1.275895671900097,0.518372809615839,0.6613896242195418,0.0872669316144751
久要,7,0.334208641680592,1.2731320369010788,0.5688753203465706,0.7242533953355832,0.07360139106041774
聲名,4,0.190976366674624,1.272378447398139,0.3781050187700956,0.4810926767361385,0.15668396174641383
後先,7,0.334208641680592,1.2711957162960525,0.5696840060852372,0.7241798681779278,0.07312881521970108
地望,6,0.28646455001193605,1.2690757528498895,0.5212839990816349,0.6615488835831269,0.08520605002912753
看圖,4,0.190976366674624,1.2663916671088495,0.3816072317599544,0.4832642184092818,0.152050463908276
傳盛,5,0.23872045834328,1.2638551096183093,0.46376247743529925,0.5861285767558488,0.10431437084032784
春深,4,0.190976366674624,1.2633034543385713,0.38339853006495866,0.48434868741939285,0.14973653323810018
一人,4,0.190976366674624,1.2630784477725752,0.16914626240116246,0.21364499856019298,0.937694301170829
幾人,4,0.190976366674624,1.261383976487518,0.3845146827004346,0.4850206594825105,0.14832325558262358
畫題,4,0.190976366674624,1.2611347236549286,0.38465495488603463,0.4851017202326983,0.14814110770679179
如蘭,4,0.190976366674624,1.258995793293154,0.3858777574776216,0.48581847338972145,0.14659077415777408
共傾,7,0.334208641680592,1.2575608898682544,0.5753900894689556,0.7235880729339544,0.06987151281476132
江山,4,0.190976366674624,1.2565010591939347,0.38730478029226895,0.48664886666811014,0.14481082748840807
一堂,4,0.190976366674624,1.250118093424632,0.39095054716195016,0.48873435264141385,0.14038943996170294
殿中,7,0.334208641680592,1.24767639088362,0.5795452969881969,0.7230849844998092,0.06758517131796073
朝端,8,0.381952733349248,1.2424394335109281,0.6241032771565475,0.7754105221226946,0.058771468726816815
一夢,4,0.190976366674624,1.240418149206252,0.39638299551124045,0.49168066166888297,0.13401100107202996
姓名,7,0.334208641680592,1.2321636700154346,0.5861360323039473,0.722215524691917,0.0641190218371487
圖繪,5,0.23872045834328,1.2319835276116877,0.47851749975925634,0.5895256773773335,0.09223713603090139
一字,4,0.190976366674624,1.230094726156814,0.40208054404355503,0.4945971567182396,0.12763256218235694
班心,4,0.190976366674624,1.2258417839001388,0.4043843371167116,0.4957112171924249,0.125117794196321
頭新,4,0.190976366674624,1.2256252207982787,0.4044951834282815,0.49575949850112777,0.12499141798279602
江湖,7,0.334208641680592,1.2202527902828828,0.5912122949110991,0.7214284525148152,0.06155500865992698
朝家,5,0.23872045834328,1.220229874965874,0.4839630988297654,0.5905462315731416,0.08814385200691607
心肝,4,0.190976366674624,1.2194233513044026,0.40787046407025174,0.49736676819462833,0.12143894108851974
交遊,5,0.23872045834328,1.216534338869006,0.4856707709643718,0.5908351702631425,0.0868937361294647
交道,5,0.23872045834328,1.216534338869006,0.4856707709643718,0.5908351702631425,0.0868937361294647
已知,4,0.190976366674624,1.2100981408911997,0.41288510667700085,0.4996314999915034,0.11632812088521353
當日,3,0.14323227500596802,1.2056056790380218,0.25340695759339044,0.30550886718233866,0.3177979111285236
朝天,3,0.14323227500596802,1.205596436631976,0.25436038971416725,0.3066559794597208,0.31511226826222866
