bigram,count,per1k,logodds_z,npmi,z_x_npmi,expected_count
風流,59,2.816901408450704,3.362930403550963,0.8152076605307784,2.741486626806607,0.4908707288665471
畫圖,36,1.718787300071616,2.6820799302074274,0.7420369900626939,1.9902025185186794,0.3190293375659467
他年,33,1.575555025065648,2.548710811704003,0.7367083131739727,1.8776564428587228,0.28375435447245156
金蘭,34,1.623299116734304,2.3779859791056763,0.7869039116151182,1.8712464687241634,0.21649254309933685
百年,31,1.480066841728336,2.2241657115577684,0.7876213146122079,1.7518003216525262,0.18270500210587517
暇日,27,1.289090475053712,2.355084444359979,0.7038194254077655,1.6575541804162073,0.24926670112237267
題名,26,1.2413463833850562,1.9869856357983913,0.7816235538154437,1.5530747740329776,0.13888301176386286
一時,27,1.289090475053712,3.3819841088016465,0.45616357859094075,1.5427379738086526,1.2948868789925176
歲寒,28,1.336834566722368,1.7061168390902894,0.8891261651772357,1.516953122484656,0.0778142281690288
托契,21,1.0026259250417762,1.8442257814148832,0.7431238251175393,1.3704881170654108,0.1238386058566033
丹靑,19,0.907137741704464,1.7648388146681806,0.7305754807474275,1.289347965467926,0.11357009352103095
他時,18,0.859393650035808,2.4447927836632295,0.5255410254470579,1.284838906531941,0.4396990420689443
白頭,18,0.859393650035808,1.9044468529737957,0.6714076560380036,1.2786601976040886,0.15703639118694832
一幅,17,0.811649558367152,1.9266667703857816,0.6449817563649768,1.2426649174934588,0.17228163441006797
高會,16,0.763905466698496,2.042891795984387,0.5907872389100568,1.206914403541623,0.2300219177331877
蘭契,15,0.71616137502984,2.033612566832986,0.5700013666689633,1.1591619423699806,0.24129639659473007
靑雲,15,0.71616137502984,2.067437751667612,0.560329246559917,1.158445837701442,0.25880039214127515
盛事,15,0.71616137502984,1.9322072324839932,0.5991193192322459,1.157622681741432,0.1954425971296364
白首,16,0.763905466698496,1.5725629982871399,0.7305996320871101,1.148913947982387,0.08434781907671487
交情,15,0.71616137502984,1.69632539499395,0.6691922280149651,1.1351677705143672,0.11766219091390337
他日,15,0.71616137502984,2.3337054570934863,0.48245105229920787,1.1258986535311564,0.4548603311408256
從容,14,0.668417283361184,1.4829037483921443,0.7154380471859072,1.0609257619143375,0.07478950546221953
繪事,13,0.6206731916925281,1.8658530557544064,0.5681315822107309,1.060050048738478,0.1954425971296364
郞官,13,0.6206731916925281,1.8800953146996848,0.5638014939492392,1.0600005471946472,0.2017824705081398
官曹,13,0.6206731916925281,1.746884845535822,0.6045756422827266,1.0561240274837813,0.14932951876637182
樽酒,13,0.6206731916925281,1.6558476185384214,0.6331742358004713,1.0484400504700953,0.12089961724770186
離合,17,0.811649558367152,1.114249285663679,0.9382777200758375,1.0454752793486473,0.021375382518993905
